ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc,conf
39,16,940,Upper Methow,0,39,0.00000000000,10
50,17,405,Upper Methow,0,50,0.00000000000,10
43,159,928,Upper Methow,0,43,12.00000000000,10
61,192,1236,Upper Methow,0,61,6.69886000000,10
81,49,456,Upper Methow,0,81,19.08350000000,10
56,46,2342,Upper Methow,0,56,6.80154000000,10
55,31,2084,Upper Methow,0,55,21.81390000000,10
67,30,765,Upper Methow,0,67,29.10880000000,10
62,189,1988,Upper Methow,0,62,15.12040000000,10
74,190,2081,Upper Methow,0,74,11.97700000000,10
89,225,4327,Upper Methow,0,89,13.52390000000,10
86,238,757,Upper Methow,0,86,11.29250000000,10
76,77,966,Upper Methow,0,76,23.88400000000,10
101,92,360,Upper Methow,5,211,19.74600000000,5
102,86,489,Upper Methow,6,776,11.95100000000,9
91,242,5253,Upper Methow,0,91,13.19510000000,10
105,266,7886,Upper Methow,0,105,16.90640000000,10
83,71,3316,Upper Methow,0,83,10.57760000000,10
92,72,2640,Upper Methow,0,92,20.77600000000,10
110,8,298,Upper Methow,0,110,44.10300000000,10
113,7,350,Upper Methow,0,113,18.62250000000,10
114,306,1454,Upper Methow,0,114,19.43890000000,10
119,360,6288,Upper Methow,0,119,16.27030000000,10
116,10,704,Upper Methow,0,116,30.08100000000,10
122,14,1283,Upper Methow,0,122,15.50040000000,10
118,63,451,Upper Methow,0,118,33.29330000000,10
121,22,413,Upper Methow,4,5294,31.41960000000,4
109,64,1062,Upper Methow,0,109,20.00000000000,10
127,21,2129,Upper Methow,0,127,20.67070000000,10
88,56,923,Upper Methow,0,88,31.47190000000,10
130,55,512,Upper Methow,0,130,34.86330000000,10
106,276,13872,Upper Methow,0,106,15.53420000000,10
129,275,443,Upper Methow,0,129,28.00000000000,10
132,32,2762,Upper Methow,0,132,22.48190000000,10
152,36,945,Upper Methow,0,152,14.05930000000,10
115,47,893,Upper Methow,0,115,19.56450000000,10
136,48,5248,Upper Methow,0,136,21.21130000000,10
137,291,14554,Upper Methow,0,137,15.95240000000,10
148,370,530,Upper Methow,0,148,21.07920000000,10
140,214,579,Upper Methow,0,140,19.71800000000,10
150,213,588,Upper Methow,0,150,23.70940000000,10
87,79,3951,Upper Methow,0,87,25.65570000000,10
134,78,1757,Upper Methow,0,134,33.13480000000,10
158,0,380,,2,2438,27.80290000000,2
147,313,15873,Upper Methow,0,147,16.27790000000,10
107,108,7515,Upper Methow,0,107,17.23190000000,10
161,412,3139,Upper Methow,0,161,11.25780000000,10
162,131,1299,Upper Methow,0,162,0.00000000000,10
159,57,963,Upper Methow,0,159,25.05200000000,10
165,74,361,Upper Methow,0,165,7.95573000000,10
160,323,19115,Upper Methow,0,160,15.46880000000,10
95,322,1845,Upper Methow,0,95,29.06290000000,10
163,118,8917,Upper Methow,0,163,14.79870000000,10
170,141,892,Upper Methow,0,170,23.05160000000,10
145,87,7097,Upper Methow,0,145,21.41980000000,10
164,88,3077,Upper Methow,0,164,25.47000000000,10
182,442,1513,Upper Methow,0,182,9.24118000000,10
131,98,2012,Upper Methow,0,131,25.26940000000,10
154,103,6088,Upper Methow,0,154,28.22770000000,10
183,448,2694,Upper Methow,0,183,17.78330000000,10
175,443,517,Upper Methow,0,175,0.00000000000,10
187,479,873,Upper Methow,0,187,14.50030000000,10
171,0,1096,,1,282,26.88480000000,4
189,503,1863,Upper Methow,0,189,24.12900000000,10
190,531,713,Upper Methow,0,190,0.00000000000,10
186,94,347,Upper Methow,0,186,43.00000000000,10
178,93,10527,Upper Methow,0,178,22.76310000000,10
172,102,12505,Upper Methow,0,172,17.61060000000,10
199,0,624,,1,1654,6.01925000000,3
151,165,1206,Upper Methow,2,61,3.16643000000,3
174,169,981,Upper Methow,6,316,5.28949000000,5
188,105,20810,Upper Methow,0,188,21.55780000000,10
194,0,429,,2,2380,0.99534300000,2
196,140,1052,Upper Methow,0,196,16.06080000000,10
197,0,686,,1,719,6.05259000000,4
195,113,22031,Upper Methow,0,195,21.33760000000,10
191,112,10895,Upper Methow,0,191,23.41560000000,10
198,0,1251,,1,386,4.07169000000,3
202,0,963,,1,159,1.99170000000,4
204,444,351,Upper Methow,0,204,12.06850000000,10
181,283,559,Upper Methow,0,181,15.00000000000,10
206,480,2271,Upper Methow,0,206,9.28345000000,10
205,293,421,Upper Methow,0,205,29.00000000000,10
157,347,1027,Upper Methow,0,157,21.46700000000,10
153,346,2653,Upper Methow,0,153,23.56000000000,10
207,392,1117,Upper Methow,0,207,21.08930000000,10
211,345,359,Upper Methow,0,211,20.00000000000,10
146,0,1470,,4,5552,54.39120000000,4
176,0,977,,4,1231,41.65440000000,4
126,0,3270,,2,775,28.49880000000,2
216,0,2514,,2,1138,49.12900000000,3
221,0,345,,1,670,13.07550000000,2
222,0,2689,,5,6131,26.98170000000,5
166,405,1165,Upper Methow,0,166,42.00000000000,10
223,407,9516,Upper Methow,0,223,24.65570000000,10
169,428,21912,Upper Methow,0,169,16.85560000000,10
217,432,11412,Upper Methow,0,217,26.78940000000,10
237,408,9055,Upper Methow,0,237,24.11270000000,10
209,368,2047,Upper Methow,0,209,21.30870000000,10
173,0,1769,,6,323,3.00000000000,5
226,481,415,Upper Methow,0,226,36.17370000000,10
228,403,749,Upper Methow,0,228,22.05890000000,10
229,0,379,,5,749,2.00000000000,5
220,0,3176,,1,1363,25.66260000000,3
210,0,2719,,1,183,18.23420000000,2
193,218,3157,Upper Methow,0,193,3.98922000000,10
224,217,385,Upper Methow,0,224,7.00000000000,10
234,527,1519,Upper Methow,0,234,6.53187000000,10
235,533,376,Upper Methow,0,235,15.00000000000,10
236,0,1149,,5,995,22.11090000000,5
238,0,1503,,2,5491,31.36950000000,3
208,397,4090,Upper Methow,0,208,23.30100000000,10
239,401,4437,Upper Methow,0,239,24.41850000000,10
200,295,903,Upper Methow,0,200,5.38361000000,10
213,294,569,Upper Methow,0,213,0.00000000000,10
242,445,467,Upper Methow,0,242,32.00000000000,10
243,410,3935,Upper Methow,0,243,23.49650000000,10
227,402,3378,Upper Methow,0,227,21.98040000000,10
250,435,455,Upper Methow,0,250,34.29960000000,10
241,302,1536,Upper Methow,2,182,3.37673000000,3
244,334,1380,Upper Methow,0,244,7.01014000000,10
203,0,2995,,1,356,2.34113000000,3
255,0,454,,1,250,0.00000000000,5
261,590,506,Upper Methow,0,261,7.05545000000,10
262,588,442,Upper Methow,0,262,3.00000000000,10
231,0,6189,,1,384,22.15370000000,2
230,0,2963,,5,1556,2.60993000000,5
192,0,902,,4,1398,0.99778400000,4
269,0,1311,,1,487,24.03660000000,3
240,149,648,Upper Methow,0,240,6.00000000000,10
219,150,2059,Upper Methow,0,219,3.00000000000,10
251,664,941,Upper Methow,0,251,14.47650000000,10
254,663,1778,Upper Methow,0,254,0.00000000000,10
263,0,419,,4,5294,28.08420000000,4
268,0,498,,4,130,35.85560000000,4
218,0,6425,,4,1542,37.36390000000,4
270,0,2825,,2,2103,25.00000000000,3
232,248,4309,Upper Methow,0,232,4.33173000000,10
246,0,776,,6,67,32.16520000000,5
212,255,2532,Upper Methow,0,212,0.00000000000,10
258,203,457,Upper Methow,0,258,5.00000000000,10
278,0,352,,4,1182,44.25030000000,4
