FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc,conf
0,39,16,940,Upper Methow,0,4816,0.0000000,10
1,50,17,405,Upper Methow,0,646,0.0000000,10
2,43,159,928,Upper Methow,0,43,12.0000000,10
3,61,192,1236,Upper Methow,0,61,6.6988602,10
4,81,49,456,Upper Methow,0,250,19.0834999,10
5,56,46,2342,Upper Methow,0,2074,6.8015399,10
6,55,31,2084,Upper Methow,0,5440,21.8139000,10
7,67,30,765,Upper Methow,0,1351,29.1088009,10
8,62,189,1988,Upper Methow,0,62,15.1204004,10
9,74,190,2081,Upper Methow,0,74,11.9770002,10
10,89,225,4327,Upper Methow,0,89,13.5239000,10
11,86,238,757,Upper Methow,0,86,11.2924995,10
12,76,77,966,Upper Methow,0,3971,23.8840008,10
13,101,92,360,Upper Methow,5,211,19.7460003,5
14,102,86,489,Upper Methow,6,776,11.9510002,9
15,91,242,5253,Upper Methow,0,91,13.1950998,10
16,105,266,7886,Upper Methow,0,105,16.9064007,10
17,83,71,3316,Upper Methow,0,1588,10.5775995,10
18,92,72,2640,Upper Methow,0,1919,20.7759991,10
19,110,8,298,Upper Methow,0,4704,44.1030006,10
20,113,7,350,Upper Methow,0,4704,18.6224995,10
21,114,306,1454,Upper Methow,0,114,19.4389000,10
22,119,360,6288,Upper Methow,0,119,16.2702999,10
23,116,10,704,Upper Methow,0,1718,30.0809994,10
24,122,14,1283,Upper Methow,0,5425,15.5003996,10
25,118,63,451,Upper Methow,0,1551,33.2933006,10
26,121,22,413,Upper Methow,4,5294,31.4195995,4
27,109,64,1062,Upper Methow,0,430,20.0000000,10
28,127,21,2129,Upper Methow,0,5440,20.6707001,10
29,88,56,923,Upper Methow,0,4606,31.4719009,10
30,130,55,512,Upper Methow,0,5245,34.8633003,10
31,106,276,13872,Upper Methow,0,106,15.5341997,10
32,129,275,443,Upper Methow,0,129,28.0000000,10
33,132,32,2762,Upper Methow,0,1919,22.4818993,10
34,152,36,945,Upper Methow,0,5130,14.0593004,10
35,115,47,893,Upper Methow,0,4606,19.5645008,10
36,136,48,5248,Upper Methow,0,1555,21.2112999,10
37,137,291,14554,Upper Methow,0,137,15.9524002,10
38,148,370,530,Upper Methow,0,148,21.0792007,10
39,140,214,579,Upper Methow,0,140,19.7180004,10
40,150,213,588,Upper Methow,0,150,23.7094002,10
41,87,79,3951,Upper Methow,0,1098,25.6557007,10
42,134,78,1757,Upper Methow,0,1418,33.1348000,10
43,158,0,380, ,2,2025,27.8029003,2
44,147,313,15873,Upper Methow,0,147,16.2779007,10
45,107,108,7515,Upper Methow,0,695,17.2318993,10
46,161,412,3139,Upper Methow,0,161,11.2578001,10
47,162,131,1299,Upper Methow,0,1925,0.0000000,10
48,159,57,963,Upper Methow,0,891,25.0520000,10
49,165,74,361,Upper Methow,0,5387,7.9557300,10
50,160,323,19115,Upper Methow,0,160,15.4687996,10
51,95,322,1845,Upper Methow,0,95,29.0629005,10
52,163,118,8917,Upper Methow,0,2073,14.7987003,10
53,170,141,892,Upper Methow,0,4382,23.0515995,10
54,145,87,7097,Upper Methow,0,5520,21.4197998,10
55,164,88,3077,Upper Methow,0,1607,25.4699993,10
56,182,442,1513,Upper Methow,0,182,9.2411804,10
57,131,98,2012,Upper Methow,0,1776,25.2693996,10
58,154,103,6088,Upper Methow,0,1993,28.2276993,10
59,183,448,2694,Upper Methow,0,183,17.7833004,10
60,175,443,517,Upper Methow,0,175,0.0000000,10
61,187,479,873,Upper Methow,0,187,14.5003004,10
62,171,0,1096, ,1,641,26.8848000,4
63,189,503,1863,Upper Methow,0,189,24.1289997,10
64,190,531,713,Upper Methow,0,190,0.0000000,10
65,186,94,347,Upper Methow,0,4704,43.0000000,10
66,178,93,10527,Upper Methow,0,1181,22.7630997,10
67,172,102,12505,Upper Methow,0,1511,17.6105995,10
68,199,0,624, ,1,1654,6.0192499,3
69,151,165,1206,Upper Methow,2,61,3.1664300,3
70,174,169,981,Upper Methow,6,316,5.2894902,5
71,188,105,20810,Upper Methow,0,2086,21.5578003,10
72,194,0,429, ,2,3781,0.9953430,2
73,196,140,1052,Upper Methow,0,430,16.0608006,10
74,197,0,686, ,1,1327,6.0525899,4
75,195,113,22031,Upper Methow,0,2086,21.3376007,10
76,191,112,10895,Upper Methow,0,1181,23.4155998,10
77,198,0,1251, ,1,386,4.0716901,3
78,202,0,963, ,1,1531,1.9917001,4
79,204,444,351,Upper Methow,0,204,12.0684996,10
