OID_,ppt_ID,shed,scen,treatment,delta
,43, ,0,0,0.0000000
,43, ,1,50,0.0000000
,61, ,1,50,0.0000000
,62, ,1,50,0.0000000
,74, ,1,50,0.0000000
,86, ,1,50,0.0000000
,89, ,1,50,0.0000000
,91, ,1,50,0.0000000
,95, ,1,50,0.0000000
,105, ,1,50,0.0322530
,106, ,1,50,0.0183353
,114, ,1,50,0.0000000
,119, ,1,50,0.0404496
,129, ,1,50,3.3333399
,137, ,1,50,0.1189380
,140, ,1,50,11.0172005
,147, ,1,50,0.1090540
,148, ,1,50,0.0000000
,150, ,1,50,0.0000000
,153, ,1,50,2.4044299
,157, ,1,50,4.9334602
,160, ,1,50,0.2856470
,161, ,1,50,1.1329200
,166, ,1,50,0.0000000
,169, ,1,50,0.2491850
,181, ,1,50,6.2500000
,182, ,1,50,0.0000000
,183, ,1,50,0.0944124
,187, ,1,50,0.0000000
,189, ,1,50,0.0000000
,204, ,1,50,0.0000000
,205, ,1,50,0.0000000
,206, ,1,50,1.5659400
,207, ,1,50,3.1278000
,208, ,1,50,2.7984400
,209, ,1,50,2.7398901
,211, ,1,50,0.0000000
,217, ,1,50,2.0698400
,223, ,1,50,2.2948799
,225, ,1,50,0.7943510
,226, ,1,50,0.0000000
,227, ,1,50,2.6738000
,228, ,1,50,0.0000000
,234, ,1,50,2.3411801
,235, ,1,50,0.0000000
,237, ,1,50,2.4117200
,239, ,1,50,2.0938499
,242, ,1,50,0.0000000
,243, ,1,50,2.3461499
,250, ,1,50,0.0000000
,251, ,1,50,7.5375800
,261, ,1,50,0.0000000
,262, ,1,50,0.0000000
,267, ,1,50,6.5777602
,294, ,1,50,5.5555601
,316, ,1,50,0.0000000
,330, ,1,50,0.0000000
,333, ,1,50,3.9516599
,344, ,1,50,0.0000000
,349, ,1,50,0.0000000
,351, ,1,50,1.9407700
,352, ,1,50,0.0000000
,358, ,1,50,0.7676980
,367, ,1,50,0.0000000
,374, ,1,50,0.0000000
,375, ,1,50,0.0000000
,376, ,1,50,1.5604700
,383, ,1,50,0.0000000
,384, ,1,50,0.9465630
,385, ,1,50,0.0000000
,386, ,1,50,0.0000000
,391, ,1,50,8.1604404
,393, ,1,50,0.7352640
,401, ,1,50,0.0000000
,416, ,1,50,3.3733799
,419, ,1,50,3.2974000
,422, ,1,50,3.6902101
,423, ,1,50,0.0000000
,430, ,1,50,8.3333302
,434, ,1,50,3.2949300
,437, ,1,50,0.9233150
,440, ,1,50,1.6460201
,443, ,1,50,0.0000000
,445, ,1,50,0.3268610
,450, ,1,50,4.5585098
,451, ,1,50,0.0000000
,459, ,1,50,1.6713400
,475, ,1,50,0.0000000
,476, ,1,50,8.3333302
,479, ,1,50,2.7241900
,481, ,1,50,1.4423400
,487, ,1,50,0.0000000
,488, ,1,50,0.0000000
,490, ,1,50,0.3323530
,491, ,1,50,0.0000000
,499, ,1,50,8.3500004
,500, ,1,50,0.0000000
,501, ,1,50,0.9594830
,512, ,1,50,0.9285600
,527, ,1,50,2.0196500
,558, ,1,50,0.0000000
,559, ,1,50,1.8382601
,572, ,1,50,0.0000000
,573, ,1,50,2.4300799
,576, ,1,50,0.0000000
,577, ,1,50,0.9728320
,578, ,1,50,4.5454502
,597, ,1,50,0.0000000
,602, ,1,50,2.2629600
,607, ,1,50,0.0000000
,608, ,1,50,0.0000000
,613, ,1,50,0.8915150
,615, ,1,50,0.1137090
,627, ,1,50,0.9470920
,628, ,1,50,1.4498100
,629, ,1,50,0.0000000
,632, ,1,50,0.0000000
,641, ,1,50,0.0000000
,647, ,1,50,1.1785200
,655, ,1,50,0.0000000
,656, ,1,50,0.0000000
,657, ,1,50,0.0000000
,663, ,1,50,0.0000000
,672, ,1,50,0.9533200
,687, ,1,50,0.0000000
,690, ,1,50,1.0156900
,691, ,1,50,0.9403990
,692, ,1,50,0.0000000
,693, ,1,50,0.0000000
,695, ,1,50,0.7900240
,703, ,1,50,0.0000000
,706, ,1,50,0.9647310
,710, ,1,50,2.2023799
,715, ,1,50,0.0000000
,718, ,1,50,0.8541730
,726, ,1,50,1.3888900
,731, ,1,50,0.0000000
,734, ,1,50,0.0000000
,735, ,1,50,2.0821400
,738, ,1,50,0.0000000
,740, ,1,50,1.0054801
,741, ,1,50,0.0000000
,744, ,1,50,3.3814900
,748, ,1,50,0.0000000
,772, ,1,50,0.4724350
,776, ,1,50,8.3498402
,779, ,1,50,0.0000000
,781, ,1,50,0.0000000
,784, ,1,50,0.8149390
,788, ,1,50,0.0000000
,789, ,1,50,0.5363060
,796, ,1,50,10.0000000
,800, ,1,50,1.2495300
,801, ,1,50,0.0000000
,809, ,1,50,0.0000000
,810, ,1,50,3.0924699
,815, ,1,50,1.2592100
,824, ,1,50,0.0000000
,825, ,1,50,0.3445230
,869, ,1,50,0.0000000
,873, ,1,50,0.0000000
,876, ,1,50,0.0000000
,878, ,1,50,1.2522600
,887, ,1,50,1.2276100
,889, ,1,50,0.4557010
,890, ,1,50,0.3807300
,891, ,1,50,0.0000000
,904, ,1,50,0.2885930
,916, ,1,50,0.0000000
,918, ,1,50,0.2080070
,919, ,1,50,0.0000000
,921, ,1,50,2.1530800
,924, ,1,50,0.1676940
,928, ,1,50,0.0000000
,929, ,1,50,9.5466003
,931, ,1,50,0.0000000
,934, ,1,50,4.7964301
,947, ,1,50,0.4475410
,948, ,1,50,0.0000000
,952, ,1,50,0.3249210
,953, ,1,50,0.5418310
,954, ,1,50,0.0000000
,955, ,1,50,0.0000000
,956, ,1,50,0.0000000
,959, ,1,50,0.2300180
,963, ,1,50,1.2067100
,974, ,1,50,3.8425701
,975, ,1,50,1.8345300
,977, ,1,50,6.6666598
,985, ,1,50,2.9411800
,989, ,1,50,0.1889820
,991, ,1,50,0.7863410
,992, ,1,50,0.2724480
,993, ,1,50,0.2432810
,994, ,1,50,0.0000000
,995, ,1,50,0.0000000
,1008, ,1,50,0.2305550
,1022, ,1,50,0.0000000
,1031, ,1,50,0.9831690
,1037, ,1,50,0.0000000
,1042, ,1,50,0.9752570
,1050, ,1,50,0.0000000
,1061, ,1,50,0.0000000
,1065, ,1,50,1.3444901
,1066, ,1,50,0.0000000
,1081, ,1,50,0.0000000
,1097, ,1,50,0.9700090
,1098, ,1,50,0.6213450
,1107, ,1,50,0.0000000
,1108, ,1,50,2.3809500
,1110, ,1,50,0.0000000
,1111, ,1,50,0.0000000
,1119, ,1,50,0.9726490
,1128, ,1,50,1.4740400
,1131, ,1,50,0.0000000
,1132, ,1,50,0.9609960
,1135, ,1,50,0.0000000
,1141, ,1,50,1.5425500
,1155, ,1,50,0.9571990
,1166, ,1,50,0.9476530
,1168, ,1,50,0.0000000
,1173, ,1,50,1.5891401
,1176, ,1,50,0.0000000
,1181, ,1,50,1.5585099
,1182, ,1,50,0.0000000
,1198, ,1,50,1.5796100
,1200, ,1,50,0.9418070
,1209, ,1,50,1.8098900
,1211, ,1,50,0.0000000
,1219, ,1,50,1.5108100
,1222, ,1,50,0.0000000
,1231, ,1,50,0.0000000
,1238, ,1,50,0.9392660
,1246, ,1,50,1.2853700
,1247, ,1,50,0.0000000
,1248, ,1,50,2.0775599
,1256, ,1,50,1.6405200
,1257, ,1,50,0.0000000
,1260, ,1,50,1.8760600
,1262, ,1,50,0.9255860
,1285, ,1,50,0.8453060
,1301, ,1,50,1.1284699
,1322, ,1,50,1.6169400
,1323, ,1,50,1.8254900
,1339, ,1,50,0.0000000
,1340, ,1,50,1.3322300
,1342, ,1,50,2.2586701
,1345, ,1,50,0.0000000
,1351, ,1,50,2.0000000
,1366, ,1,50,1.1617500
,1371, ,1,50,3.2258101
,1378, ,1,50,1.7923400
,1380, ,1,50,0.4446530
,1381, ,1,50,1.1678200
,1386, ,1,50,2.0998199
,1387, ,1,50,0.0000000
,1393, ,1,50,1.0116200
,1394, ,1,50,1.0195400
,1397, ,1,50,1.0162300
,1402, ,1,50,16.8843994
,1403, ,1,50,0.0000000
,1413, ,1,50,0.0000000
,1414, ,1,50,1.0121800
,1417, ,1,50,0.0000000
,1418, ,1,50,0.0000000
,1430, ,1,50,1.0864300
,1432, ,1,50,0.0000000
,1438, ,1,50,0.0000000
,1439, ,1,50,0.0000000
,1451, ,1,50,0.0000000
,1452, ,1,50,0.4708260
,1462, ,1,50,0.1223850
,1463, ,1,50,1.3814400
,1492, ,1,50,2.0000000
,1499, ,1,50,1.0100600
,1511, ,1,50,0.0632244
,1525, ,1,50,0.0848072
,1529, ,1,50,0.0000000
,1532, ,1,50,0.0000000
,1541, ,1,50,1.0160100
,1549, ,1,50,2.8473599
,1550, ,1,50,0.8641060
,1551, ,1,50,4.7618999
,1553, ,1,50,1.0195400
,1555, ,1,50,1.0837200
,1576, ,1,50,2.5641000
,1588, ,1,50,1.5287200
,1589, ,1,50,0.0000000
,1606, ,1,50,0.8263790
,1607, ,1,50,0.6943810
,1610, ,1,50,0.0000000
,1616, ,1,50,1.0258800
,1620, ,1,50,1.2050800
,1621, ,1,50,0.1455150
,1623, ,1,50,0.0000000
,1636, ,1,50,0.0000000
,1640, ,1,50,1.0213500
,1654, ,1,50,2.0031900
,1656, ,1,50,2.7026999
,1660, ,1,50,9.9734697
,1661, ,1,50,0.0000000
,1663, ,1,50,1.8867900
,1664, ,1,50,0.4995660
,1670, ,1,50,0.0000000
,1671, ,1,50,0.0000000
,1672, ,1,50,1.0209700
,1711, ,1,50,0.0000000
,1712, ,1,50,0.0000000
,1716, ,1,50,1.0241600
,1718, ,1,50,0.0000000
,1723, ,1,50,0.0000000
,1724, ,1,50,0.0000000
,1745, ,1,50,0.0000000
,1764, ,1,50,3.8461399
,1776, ,1,50,1.2218699
,1784, ,1,50,1.0204901
,1794, ,1,50,0.0000000
,1797, ,1,50,6.8782501
,1810, ,1,50,2.8571401
,1811, ,1,50,3.0435400
,1821, ,1,50,0.0000000
,1827, ,1,50,2.1386099
,1849, ,1,50,1.8518500
,1868, ,1,50,1.0267900
,1869, ,1,50,0.0000000
,1871, ,1,50,1.8182900
,1880, ,1,50,1.5035000
,1884, ,1,50,0.0000000
,1885, ,1,50,0.0000000
,1887, ,1,50,0.0000000
,1890, ,1,50,1.8501900
,1891, ,1,50,1.0322500
,1907, ,1,50,2.3809400
,1914, ,1,50,1.0283500
,1919, ,1,50,2.0626800
,1924, ,1,50,33.3769989
,1925, ,1,50,18.5645008
,1940, ,1,50,6.3424702
,1946, ,1,50,0.0000000
,1955, ,1,50,0.0000000
,1963, ,1,50,0.0000000
,1976, ,1,50,0.0000000
,1992, ,1,50,1.2741100
,1993, ,1,50,1.0438700
,2003, ,1,50,19.9813995
,2012, ,1,50,8.7412996
,2022, ,1,50,0.0000000
,2025, ,1,50,6.2500000
,2064, ,1,50,1.0232100
,2066, ,1,50,1.0154200
,2072, ,1,50,6.1624899
,2073, ,1,50,5.6426201
,2074, ,1,50,0.0000000
,2077, ,1,50,0.0000000
,2086, ,1,50,3.1347599
,2089, ,1,50,4.2755899
,2091, ,1,50,1.0086499
