ppt_id,day,temp,pcp,albedo,wind,rh
119,0,1,1,1.5,30,66.0
119,0,1,3,3.0,18,85.5
119,0,-1,1,2.7,12,37.5
119,1,2,0,2.1,0,39.0
119,1,-10,0,1.5,28,33.0
119,1,-19,1,1.8,4,15.0
119,1,1,1,2.85,30,72.0
119,2,-20,3,1.5,32,21.0
119,2,1,3,2.55,34,30.0
119,2,-18,2,1.8,38,24.0
119,2,-9,3,2.25,0,85.5
119,3,7,3,2.85,32,48.0
119,3,8,2,2.55,0,55.5
119,3,13,0,1.95,26,27.0
119,3,-5,2,2.1,18,73.5
119,4,-17,2,3.0,16,61.5
119,4,13,1,2.25,8,61.5
119,4,-9,0,2.85,10,30.0
119,4,4,2,1.95,18,51.0
119,5,7,3,2.7,30,45.0
119,5,-1,1,2.7,26,70.5
119,5,3,1,1.5,36,15.0
119,5,-9,3,3.0,6,51.0
119,6,11,2,2.1,10,66.0
119,6,1,3,2.85,32,66.0
119,6,-12,3,2.25,30,67.5
119,6,-16,3,2.55,6,16.5
119,7,-7,0,1.8,4,46.5
119,7,-14,0,3.0,16,34.5
119,7,6,1,2.1,2,73.5
119,7,3,0,2.55,12,81.0
119,8,-19,2,1.8,26,19.5
119,8,-8,1,2.1,18,76.5
119,8,0,2,1.95,8,87.0
119,8,-3,3,2.4,6,21.0
119,9,1,0,2.55,18,46.5
119,9,-10,2,2.85,10,63.0
119,9,-6,0,2.25,14,58.5
119,9,-1,2,2.55,2,73.5
119,10,15,3,2.25,4,73.5
119,10,-20,1,1.8,40,24.0
119,10,-12,3,1.5,30,60.0
119,10,-16,3,2.55,28,63.0
119,11,10,3,2.55,20,85.5
119,11,1,2,2.25,0,64.5
119,11,7,1,1.95,6,87.0
119,11,-4,0,1.65,2,66.0
119,12,-20,3,1.95,14,81.0
119,12,-13,1,2.85,16,45.0
119,12,-8,2,3.0,34,78.0
119,12,0,1,1.5,14,36.0
119,13,9,2,2.7,2,16.5
119,13,-4,3,2.4,32,15.0
119,13,15,3,1.65,14,51.0
119,13,12,0,2.4,38,19.5
119,14,9,0,1.95,32,63.0
119,14,-14,2,2.25,30,58.5
119,14,7,2,2.55,40,19.5
119,14,4,0,2.7,32,27.0
119,15,-11,1,2.4,32,19.5
119,15,11,2,2.7,24,34.5
119,15,-17,3,2.25,6,39.0
119,15,9,1,3.0,2,45.0
119,16,6,0,3.0,30,43.5
119,16,-14,1,3.0,14,82.5
119,16,15,2,2.85,6,15.0
119,16,-13,1,2.25,12,67.5
119,17,1,3,2.1,8,37.5
119,17,-12,0,2.85,36,58.5
119,17,-15,3,1.65,24,51.0
119,17,-15,1,2.7,24,42.0
119,18,-19,3,2.55,12,40.5
119,18,-8,0,1.8,38,88.5
119,18,10,3,2.7,8,45.0
119,18,-9,1,1.65,6,24.0
119,19,12,3,2.1,32,54.0
119,19,-10,2,1.5,22,72.0
119,19,8,1,3.0,28,54.0
119,19,-16,2,1.95,12,48.0
119,20,-11,0,2.1,34,39.0
119,20,8,3,2.25,22,45.0
119,20,-6,3,2.7,34,40.5
119,20,-17,2,1.8,6,39.0
119,21,-17,0,2.1,32,58.5
119,21,-20,0,1.95,16,25.5
119,21,15,1,2.55,22,67.5
119,21,-20,1,1.8,26,88.5
119,22,-5,2,2.1,10,60.0
119,22,3,2,1.65,4,46.5
119,22,-19,1,2.1,38,45.0
119,22,3,0,2.25,30,28.5
119,23,4,0,2.7,34,75.0
119,23,8,1,2.25,6,51.0
119,23,9,2,1.65,20,67.5
119,23,10,0,2.4,4,16.5
119,24,10,0,2.25,40,31.5
119,24,-10,0,2.55,20,54.0
119,24,11,1,2.4,36,51.0
119,24,-12,1,1.95,0,69.0
119,25,-4,3,2.25,0,90.0
119,25,3,0,1.5,12,79.5
119,25,-9,2,1.95,22,52.5
119,25,1,2,3.0,40,24.0
119,26,-11,2,1.65,18,52.5
119,26,4,2,2.4,18,90.0
119,26,0,0,2.55,34,73.5
119,26,-13,2,1.95,30,36.0
119,27,-17,0,1.8,10,87.0
119,27,-5,3,2.25,40,27.0
119,27,9,2,1.5,14,21.0
119,27,-19,2,2.7,0,66.0
119,28,14,3,2.55,22,84.0
119,28,13,3,1.95,40,63.0
119,28,-6,2,1.95,14,42.0
119,28,-17,3,1.95,12,40.5
119,29,-8,2,3.0,6,27.0
119,29,11,1,3.0,2,88.5
119,29,8,3,1.8,34,45.0
119,29,-11,3,2.85,10,55.5
119,30,-16,0,2.1,16,37.5
119,30,-16,2,2.1,10,90.0
119,30,-4,3,2.4,38,87.0
119,30,10,3,2.85,32,76.5
119,31,-9,0,2.85,26,31.5
119,31,-16,1,2.55,6,78.0
119,31,4,2,3.0,34,37.5
119,31,-10,1,2.4,2,49.5
119,32,-13,0,1.95,38,15.0
119,32,-20,1,1.5,32,60.0
119,32,14,3,3.0,14,28.5
119,32,-17,1,2.4,8,28.5
119,33,-16,3,2.7,10,49.5
119,33,-14,3,1.95,4,60.0
119,33,8,3,1.65,40,60.0
119,33,-13,2,2.1,8,22.5
119,34,-4,0,2.1,22,36.0
119,34,-3,3,2.1,14,54.0
119,34,-10,2,2.25,22,84.0
119,34,-16,2,3.0,22,28.5
119,35,11,3,1.65,20,70.5
119,35,7,0,2.4,32,48.0
119,35,-13,2,2.4,32,16.5
119,35,-14,1,2.7,30,84.0
119,36,8,3,2.55,10,54.0
119,36,-20,3,2.1,2,52.5
119,36,7,0,2.7,26,66.0
119,36,8,2,1.65,40,82.5
119,37,8,1,2.55,16,58.5
119,37,-4,3,1.95,20,67.5
119,37,7,3,1.5,20,18.0
119,37,-2,0,2.85,28,84.0
119,38,5,1,1.65,40,51.0
119,38,13,2,2.1,2,22.5
119,38,-9,1,1.8,4,76.5
119,38,-2,2,2.55,30,87.0
119,39,-6,1,1.5,2,34.5
119,39,5,0,1.95,36,69.0
119,39,-13,0,1.5,32,45.0
119,39,-5,3,1.95,36,40.5
119,40,3,2,2.25,28,43.5
119,40,-5,3,2.4,36,79.5
119,40,-7,2,3.0,10,42.0
119,40,12,1,2.85,16,51.0
119,41,-6,0,2.85,26,40.5
119,41,4,3,1.5,38,69.0
119,41,-20,3,2.7,34,34.5
119,41,-15,3,1.8,0,79.5
119,42,6,2,2.55,0,46.5
119,42,-2,2,1.8,18,85.5
119,42,-10,3,1.65,16,22.5
119,42,-18,2,2.1,38,78.0
119,43,15,1,1.65,38,79.5
119,43,-9,1,2.1,34,67.5
119,43,-7,2,1.95,20,87.0
119,43,1,1,2.55,34,48.0
119,44,7,1,1.95,22,64.5
119,44,9,1,2.7,26,73.5
119,44,-11,2,2.55,18,33.0
119,44,10,3,1.8,40,70.5
119,45,1,0,2.55,6,25.5
119,45,-20,3,2.1,28,66.0
119,45,9,0,3.0,10,49.5
119,45,-20,2,2.4,30,43.5
119,46,-12,3,1.5,16,46.5
119,46,3,2,1.95,34,70.5
119,46,-2,2,2.7,36,57.0
119,46,-10,0,1.65,4,21.0
119,47,-20,0,1.8,2,67.5
119,47,9,0,2.85,30,30.0
119,47,-20,1,1.65,38,48.0
119,47,-16,3,2.1,22,84.0
119,48,-11,0,1.8,22,15.0
119,48,-6,3,1.65,32,37.5
119,48,13,1,2.25,12,78.0
119,48,-20,0,2.25,18,27.0
119,49,-13,3,2.1,38,40.5
119,49,-13,1,1.8,12,70.5
119,49,14,3,2.4,20,46.5
119,49,-3,0,3.0,22,21.0
119,50,9,0,1.5,20,28.5
119,50,1,3,2.85,36,54.0
119,50,9,1,1.5,20,21.0
119,50,-14,0,1.5,8,48.0
119,51,-3,0,1.5,22,60.0
119,51,13,3,1.8,20,22.5
119,51,3,3,2.1,4,21.0
119,51,-20,2,1.95,38,78.0
119,52,14,2,1.95,22,78.0
119,52,7,3,2.55,36,33.0
119,52,5,0,2.1,20,82.5
119,52,13,0,3.0,14,40.5
119,53,0,2,2.25,4,24.0
119,53,-8,1,1.8,16,69.0
119,53,11,3,2.7,34,27.0
119,53,-9,0,2.25,24,75.0
119,54,-19,1,2.25,40,79.5
119,54,8,0,3.0,40,60.0
119,54,7,1,1.95,0,25.5
119,54,-3,0,1.65,32,37.5
119,55,11,2,2.85,14,70.5
119,55,-4,0,2.4,32,39.0
119,55,8,0,2.4,38,37.5
119,55,-6,2,1.8,4,88.5
119,56,0,3,1.8,10,28.5
119,56,12,0,2.85,20,46.5
119,56,11,3,1.8,30,15.0
119,56,-12,2,1.65,24,48.0
119,57,-17,3,1.95,36,49.5
119,57,-14,3,3.0,24,60.0
119,57,-2,3,1.5,26,72.0
119,57,-10,1,2.85,36,85.5
119,58,-13,0,2.4,10,66.0
119,58,6,3,1.8,28,61.5
119,58,-19,2,3.0,34,87.0
119,58,-13,2,2.85,22,39.0
119,59,3,3,2.25,2,39.0
119,59,7,1,2.1,20,15.0
119,59,13,0,2.85,30,40.5
119,59,9,1,3.0,40,45.0
119,60,9,1,1.8,6,42.0
119,60,9,3,2.25,24,51.0
119,60,-1,3,2.55,30,55.5
119,60,-14,2,1.5,14,61.5
119,61,11,3,2.55,40,30.0
119,61,0,3,1.65,22,33.0
119,61,-3,0,2.7,10,40.5
119,61,-19,1,2.7,40,46.5
119,62,2,3,2.4,8,67.5
119,62,-10,3,3.0,34,87.0
119,62,-20,1,3.0,20,76.5
119,62,-19,0,1.65,26,25.5
119,63,-10,3,2.85,36,52.5
119,63,0,0,1.8,8,82.5
119,63,8,1,1.8,36,15.0
119,63,10,1,2.55,0,66.0
119,64,-12,1,1.95,40,25.5
119,64,-16,1,2.55,0,85.5
119,64,-6,2,1.5,12,57.0
119,64,-5,3,1.65,18,31.5
119,65,-4,1,2.1,36,82.5
119,65,-13,0,2.25,30,70.5
119,65,-15,1,1.8,40,39.0
119,65,11,2,2.4,2,28.5
119,66,3,2,1.8,4,85.5
119,66,-2,2,2.85,22,85.5
119,66,12,0,1.8,4,87.0
119,66,-5,3,1.65,16,61.5
119,67,0,2,1.65,10,15.0
119,67,10,3,1.8,36,81.0
