OID_,ppt_id,veg_sz_cla,strmap_id,RxBase,Rx50,Rx30,Rx0
,6685,21,2333,16,13,7,1
,4902,21,2333,16,13,7,1
,2627,29,2188,16,19,13,7
,2080,19,2188,16,19,13,7
,752,11,1384,16,13,7,1
,3359,21,2333,16,13,7,1
,9556,21,2333,16,13,7,1
,3646,21,2333,16,13,7,1
,669,31,1744,16,13,7,1
,1600,21,2333,16,13,7,1
,8698,25,2188,16,19,13,7
,773,31,1744,16,13,7,1
,475,21,2333,16,13,7,1
,9363,22,642,16,13,7,1
,3300,21,2333,16,13,7,1
,4283,11,1384,16,13,7,1
,2817,11,1384,16,13,7,1
,4261,31,1744,16,13,7,1
,1517,25,2188,16,19,13,7
,2229,12,2188,16,13,7,1
,267,11,1384,16,13,7,1
,985,21,2333,16,13,7,1
,153,21,2333,16,13,7,1
,4327,21,2333,16,13,7,1
,7264,29,2188,16,19,13,7
,3253,21,2333,16,13,7,1
,549,11,1384,16,13,7,1
,2532,21,2333,16,13,7,1
,5005,29,2188,16,19,13,7
,481,21,2333,16,13,7,1
,2684,11,1384,16,13,7,1
,1447,11,1384,16,13,7,1
,9308,22,642,16,13,7,1
,5007,21,2333,16,13,7,1
,463,29,2188,16,19,13,7
,4984,31,1744,16,13,7,1
,3261,11,1384,16,13,7,1
,5090,19,2188,16,19,13,7
,2337,11,1384,16,13,7,1
,600,21,2333,16,13,7,1
,2662,11,1384,16,13,7,1
,7560,21,2333,16,13,7,1
,2369,11,1384,16,13,7,1
,7821,21,2333,16,13,7,1
,712,29,2188,16,19,13,7
,2718,21,2333,16,13,7,1
,2119,11,1384,16,13,7,1
,427,11,1384,16,13,7,1
,2691,28,2188,16,19,13,7
,4472,21,2333,16,13,7,1
,2809,31,1744,16,13,7,1
,1972,21,2333,16,13,7,1
,1518,21,2333,16,13,7,1
,2779,19,2188,16,19,13,7
,2366,29,2188,16,19,13,7
,1963,21,2333,16,13,7,1
,5036,31,1744,16,13,7,1
,2466,11,1384,16,13,7,1
,4991,11,1384,16,13,7,1
,170,21,2333,16,13,7,1
,7730,21,2333,16,13,7,1
,9389,21,2333,16,13,7,1
,8845,29,2188,16,19,13,7
,3457,21,2333,16,13,7,1
,3137,21,2333,16,13,7,1
,3379,25,2188,16,19,13,7
,3335,11,1384,16,13,7,1
,5386,21,2333,16,13,7,1
,2203,19,2188,16,19,13,7
,522,11,1384,16,13,7,1
,5498,11,1384,16,13,7,1
,2751,15,2188,16,19,13,7
,6923,21,2333,16,13,7,1
,2143,11,1384,16,13,7,1
,1832,11,1384,16,13,7,1
,3467,11,1384,16,13,7,1
,719,11,1384,16,13,7,1
,692,11,1384,16,13,7,1
,2808,29,2188,16,19,13,7
,5540,31,1744,16,13,7,1
,4143,13,2188,16,13,7,1
,4677,25,2188,16,19,13,7
,6191,21,2333,16,13,7,1
,4792,28,2188,16,19,13,7
,4903,11,1384,16,13,7,1
,3152,11,1384,16,13,7,1
,8440,29,2188,16,19,13,7
,3098,21,2333,16,13,7,1
,358,25,2188,16,19,13,7
,3950,11,1384,16,13,7,1
,5528,31,1744,16,13,7,1
,6955,11,1384,16,13,7,1
,6312,29,2188,16,19,13,7
,722,19,2188,16,19,13,7
,4785,21,2333,16,13,7,1
,6087,31,1744,16,13,7,1
,1433,25,2188,16,19,13,7
,1893,31,1744,16,13,7,1
,2737,23,1529,16,13,7,1
,7555,11,1384,16,13,7,1
,518,13,2188,16,13,7,1
,4970,31,1744,16,13,7,1
,993,15,2188,16,19,13,7
,1874,11,1384,16,13,7,1
,2832,11,1384,16,13,7,1
,5873,31,1744,16,13,7,1
,3406,21,2333,16,13,7,1
,9305,21,2333,16,13,7,1
,5934,21,2333,16,13,7,1
,2686,17,2188,16,19,13,7
,5468,21,2333,16,13,7,1
,3772,12,2188,16,13,7,1
,8627,11,1384,16,13,7,1
,7597,21,2333,16,13,7,1
,3662,29,2188,16,19,13,7
,5393,21,2333,16,13,7,1
,1462,12,2188,16,13,7,1
,1558,21,2333,16,13,7,1
,3788,11,1384,16,13,7,1
,5483,22,642,16,13,7,1
,500,11,1384,16,13,7,1
,3055,11,1384,16,13,7,1
,1386,11,1384,16,13,7,1
,1795,23,1529,16,13,7,1
,772,11,1384,16,13,7,1
,9696,21,2333,16,13,7,1
,1031,29,2188,16,19,13,7
,4033,21,2333,16,13,7,1
,4683,21,2333,16,13,7,1
,6397,31,1744,16,13,7,1
,1931,21,2333,16,13,7,1
,1445,23,1529,16,13,7,1
,4727,14,2188,16,13,7,1
,446,11,1384,16,13,7,1
,7889,11,1384,16,13,7,1
,8402,31,1744,16,13,7,1
,4322,11,1384,16,13,7,1
,2012,11,1384,16,13,7,1
,7376,21,2333,16,13,7,1
,2483,21,2333,16,13,7,1
,2364,21,2333,16,13,7,1
,3488,29,2188,16,19,13,7
,9082,21,2333,16,13,7,1
,2108,24,2022,16,13,7,1
,3201,31,1744,16,13,7,1
,3291,11,1384,16,13,7,1
,1903,31,1744,16,13,7,1
,216,31,1744,16,13,7,1
,4116,11,1384,16,13,7,1
,448,31,1744,16,13,7,1
,4869,14,2188,16,13,7,1
,8527,13,2188,16,13,7,1
,2828,29,2188,16,19,13,7
,769,21,2333,16,13,7,1
,1370,11,1384,16,13,7,1
,3165,21,2333,16,13,7,1
,4483,21,2333,16,13,7,1
,1141,22,642,16,13,7,1
,3332,21,2333,16,13,7,1
,271,22,642,16,13,7,1
,5263,11,1384,16,13,7,1
,4426,11,1384,16,13,7,1
,3196,22,642,16,13,7,1
,862,21,2333,16,13,7,1
,4793,32,2188,16,13,7,1
,9545,31,1744,16,13,7,1
,5320,31,1744,16,13,7,1
,8362,11,1384,16,13,7,1
,2278,11,1384,16,13,7,1
,4304,31,1744,16,13,7,1
,3509,11,1384,16,13,7,1
,1706,23,1529,16,13,7,1
,1860,11,1384,16,13,7,1
,4530,21,2333,16,13,7,1
,727,11,1384,16,13,7,1
,1579,11,1384,16,13,7,1
,4319,11,1384,16,13,7,1
,4017,11,1384,16,13,7,1
,7674,31,1744,16,13,7,1
,5155,11,1384,16,13,7,1
,3234,21,2333,16,13,7,1
,3265,31,1744,16,13,7,1
,6774,31,1744,16,13,7,1
,1148,11,1384,16,13,7,1
,1523,24,2022,16,13,7,1
,3415,11,1384,16,13,7,1
,3820,19,2188,16,19,13,7
,6699,29,2188,16,19,13,7
,715,21,2333,16,13,7,1
,7328,21,2333,16,13,7,1
,2739,15,2188,16,19,13,7
,1556,11,1384,16,13,7,1
,5391,21,2333,16,13,7,1
,7118,21,2333,16,13,7,1
,2009,21,2333,16,13,7,1
,3316,23,1529,16,13,7,1
,2509,21,2333,16,13,7,1
,4395,21,2333,16,13,7,1
,8986,21,2333,16,13,7,1
,4548,11,1384,16,13,7,1
,4713,11,1384,16,13,7,1
,8243,21,2333,16,13,7,1
,2587,11,1384,16,13,7,1
,1394,29,2188,16,19,13,7
,685,21,2333,16,13,7,1
,2397,11,1384,16,13,7,1
,5911,31,1744,16,13,7,1
,2069,21,2333,16,13,7,1
,6912,29,2188,16,19,13,7
,9541,21,2333,16,13,7,1
,200,11,1384,16,13,7,1
,3344,11,1384,16,13,7,1
,1398,11,1384,16,13,7,1
,3356,11,1384,16,13,7,1
,1060,11,1384,16,13,7,1
,4156,11,1384,16,13,7,1
,3374,11,1384,16,13,7,1
,5156,29,2188,16,19,13,7
,2046,11,1384,16,13,7,1
,4863,15,2188,16,19,13,7
,2031,19,2188,16,19,13,7
,8350,11,1384,16,13,7,1
,4707,11,1384,16,13,7,1
,3861,11,1384,16,13,7,1
,1459,31,1744,16,13,7,1
,4271,31,1744,16,13,7,1
,1159,11,1384,16,13,7,1
,2815,11,1384,16,13,7,1
,276,31,1744,16,13,7,1
,2144,19,2188,16,19,13,7
,1262,29,2188,16,19,13,7
,332,31,1744,16,13,7,1
,2807,27,2188,16,19,13,7
,2708,11,1384,16,13,7,1
,1081,31,1744,16,13,7,1
,1026,11,1384,16,13,7,1
,5763,21,2333,16,13,7,1
,2648,11,1384,16,13,7,1
,2838,11,1384,16,13,7,1
,9605,21,2333,16,13,7,1
,922,11,1384,16,13,7,1
,1472,21,2333,16,13,7,1
,5529,21,2333,16,13,7,1
,1340,29,2188,16,19,13,7
,4230,11,1384,16,13,7,1
,903,11,1384,16,13,7,1
,3818,11,1384,16,13,7,1
,6145,31,1744,16,13,7,1
,3876,11,1384,16,13,7,1
,1016,31,1744,16,13,7,1
,3007,11,1384,16,13,7,1
,2503,22,642,16,13,7,1
,2717,21,2333,16,13,7,1
,6862,11,1384,16,13,7,1
,4703,11,1384,16,13,7,1
,4816,31,1744,16,13,7,1
,4059,11,1384,16,13,7,1
,5372,31,1744,16,13,7,1
,7537,21,2333,16,13,7,1
,3704,19,2188,16,19,13,7
,1935,31,1744,16,13,7,1
,3168,21,2333,16,13,7,1
,3140,21,2333,16,13,7,1
,1091,19,2188,16,19,13,7
,3349,21,2333,16,13,7,1
,5261,31,1744,16,13,7,1
,5356,11,1384,16,13,7,1
,3626,11,1384,16,13,7,1
,3314,11,1384,16,13,7,1
,3410,11,1384,16,13,7,1
,2114,11,1384,16,13,7,1
,5285,19,2188,16,19,13,7
,2754,11,1384,16,13,7,1
,4253,11,1384,16,13,7,1
,2438,11,1384,16,13,7,1
,6969,21,2333,16,13,7,1
,668,11,1384,16,13,7,1
,3463,21,2333,16,13,7,1
,1684,21,2333,16,13,7,1
,3387,11,1384,16,13,7,1
,367,11,1384,16,13,7,1
,8070,11,1384,16,13,7,1
,1266,29,2188,16,19,13,7
,1979,11,1384,16,13,7,1
,228,21,2333,16,13,7,1
,2647,11,1384,16,13,7,1
,4579,11,1384,16,13,7,1
,7115,31,1744,16,13,7,1
,606,13,2188,16,13,7,1
,2296,21,2333,16,13,7,1
,2681,21,2333,16,13,7,1
,3792,11,1384,16,13,7,1
,7280,11,1384,16,13,7,1
,9094,21,2333,16,13,7,1
,4265,21,2333,16,13,7,1
,5106,35,2188,16,19,13,7
,5407,31,1744,16,13,7,1
,4771,11,1384,16,13,7,1
,4998,11,1384,16,13,7,1
,4428,21,2333,16,13,7,1
,2831,21,2333,16,13,7,1
,2952,11,1384,16,13,7,1
,1104,11,1384,16,13,7,1
,4810,14,2188,16,13,7,1
,709,19,2188,16,19,13,7
,2429,22,642,16,13,7,1
