OID_,ppt_ID,shed,scen,treatment,delta
,43, ,1,50,0
,61, ,1,50,0
,62, ,1,50,0
,74, ,1,50,0
,86, ,1,50,0
,89, ,1,50,0
,91, ,1,50,0
,95, ,1,50,0
,105, ,1,50,0.032253
,106, ,1,50,0.0183353
,114, ,1,50,0
,119, ,1,50,0.0404496
,129, ,1,50,3.3333399
,137, ,1,50,0.118938
,140, ,1,50,11.0172005
,147, ,1,50,0.109054
,148, ,1,50,0
,150, ,1,50,0
,153, ,1,50,2.4044299
,157, ,1,50,4.9334602
,160, ,1,50,0.285647
,161, ,1,50,1.13292
,166, ,1,50,0
,169, ,1,50,0.249185
,181, ,1,50,6.25
,182, ,1,50,0
,183, ,1,50,0.0944124
,187, ,1,50,0
,189, ,1,50,0
,204, ,1,50,0
,205, ,1,50,0
,206, ,1,50,1.56594
,207, ,1,50,3.1278
,208, ,1,50,2.79844
,209, ,1,50,2.7398901
,211, ,1,50,0
,217, ,1,50,2.06984
,223, ,1,50,2.2948799
,225, ,1,50,0.794351
,226, ,1,50,0
,227, ,1,50,2.6738
,228, ,1,50,0
,234, ,1,50,2.3411801
,235, ,1,50,0
,237, ,1,50,2.41172
,239, ,1,50,2.0938499
,242, ,1,50,0
,243, ,1,50,2.3461499
,250, ,1,50,0
,251, ,1,50,7.53758
,261, ,1,50,0
,262, ,1,50,0
,267, ,1,50,6.5777602
,294, ,1,50,5.5555601
,316, ,1,50,0
,330, ,1,50,0
,333, ,1,50,3.9516599
,344, ,1,50,0
,349, ,1,50,0
,351, ,1,50,1.94077
,352, ,1,50,0
,358, ,1,50,0.767698
,367, ,1,50,0
,374, ,1,50,0
,375, ,1,50,0
,376, ,1,50,1.56047
,383, ,1,50,0
,384, ,1,50,0.946563
,385, ,1,50,0
,386, ,1,50,0
,391, ,1,50,8.1604404
,393, ,1,50,0.735264
,401, ,1,50,0
,416, ,1,50,3.3733799
,419, ,1,50,3.2974
,422, ,1,50,3.6902101
,423, ,1,50,0
,430, ,1,50,8.3333302
,434, ,1,50,3.29493
,437, ,1,50,0.923315
,440, ,1,50,1.6460201
,443, ,1,50,0
,445, ,1,50,0.326861
,450, ,1,50,4.5585098
,451, ,1,50,0
,459, ,1,50,1.67134
,475, ,1,50,0
,476, ,1,50,8.3333302
,479, ,1,50,2.72419
,481, ,1,50,1.44234
,487, ,1,50,0
,488, ,1,50,0
,490, ,1,50,0.332353
,491, ,1,50,0
,499, ,1,50,8.3500004
,500, ,1,50,0
,501, ,1,50,0.959483
,512, ,1,50,0.92856
,527, ,1,50,2.01965
,558, ,1,50,0
,559, ,1,50,1.8382601
,572, ,1,50,0
,573, ,1,50,2.4300799
,576, ,1,50,0
,577, ,1,50,0.972832
,578, ,1,50,4.5454502
,597, ,1,50,0
,602, ,1,50,2.26296
,607, ,1,50,0
,608, ,1,50,0
,613, ,1,50,0.891515
,615, ,1,50,0.113709
,627, ,1,50,0.947092
,628, ,1,50,1.44981
,629, ,1,50,0
,632, ,1,50,0
,641, ,1,50,0
,647, ,1,50,1.17852
