FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc
0,39,16,940, ,0,0,0.0000000
1,50,17,405, ,0,0,0.0000000
2,43,159,928,Upper Methow,30159,43,12.0000000
3,61,192,1236,Upper Methow,30192,61,6.3398099
4,81,49,456, ,31510,977,19.0417004
5,56,46,2342, ,32926,2074,15.9932003
6,55,31,2084, ,30368,209,21.4030991
7,67,30,765, ,32958,2241,28.5489998
8,62,189,1988,Upper Methow,10114,3957,13.5070000
9,74,190,2081,Upper Methow,30190,74,11.9884996
10,89,225,4327,Upper Methow,30225,89,13.6472998
11,86,238,757,Upper Methow,30238,86,11.1452999
12,76,77,966, ,32699,1712,20.1501007
13,101,9999,360, ,30345,211,19.3694000
14,102,9999,489, ,31091,499,11.9755001
15,91,242,5253,Upper Methow,30242,91,13.2981005
16,105,266,7886,Upper Methow,30266,105,19.1072998
17,83,71,3316, ,30402,227,20.1625004
18,92,72,2640, ,31542,656,22.8446999
19,110,8,298, ,32694,1797,35.1408997
20,113,7,350, ,30698,443,18.3085995
21,114,306,1454,Upper Methow,30306,114,18.7056007
22,119,360,6288,Upper Methow,30360,119,19.4316006
23,116,10,704, ,31860,1176,27.0795002
24,122,14,1283, ,32935,2238,14.7311001
25,118,63,451, ,32801,1946,33.1463013
26,121,9999,413, ,30481,226,28.0265999
27,109,64,1062, ,32943,2003,20.0000000
28,127,21,2129, ,32635,1776,20.8782997
29,88,56,923, ,32463,1576,31.2350998
30,130,55,512, ,32381,1610,34.9315987
31,106,276,13872,Upper Methow,30276,106,17.4874001
32,129,275,443,Upper Methow,30275,129,28.0000000
33,132,32,2762, ,32464,1606,23.2313995
34,152,36,945, ,32023,1231,14.0296001
35,115,47,893, ,32463,1576,18.7660007
36,136,48,5248, ,32454,1555,23.0653992
37,137,291,14554,Upper Methow,30276,106,18.1201992
38,148,370,530,Upper Methow,30370,148,21.0396004
39,140,214,579,Upper Methow,30214,140,18.8393993
40,150,213,588,Upper Methow,30213,150,23.3519993
41,87,79,3951, ,31893,1098,30.4962997
42,134,78,1757, ,32256,1418,35.0443993
43,158,0,380, ,10037,3681,25.8316002
44,147,313,15873,Upper Methow,30313,147,19.0566998
45,107,108,7515, ,31612,975,25.4165993
46,161,412,3139,Upper Methow,30412,161,19.3801003
47,162,131,1299, ,0,0,0.0000000
48,159,57,963, ,32023,1231,25.0259991
49,165,74,361, ,30698,443,7.9778399
50,160,323,19115,Upper Methow,30323,160,19.3113003
51,95,322,1845,Upper Methow,30322,95,29.0314007
52,163,118,8917, ,31647,1128,24.1431999
53,170,141,892, ,30159,43,23.0258007
54,145,87,7097, ,10348,5040,24.2717991
55,164,88,3077, ,32415,1607,29.2896004
56,182,442,1513,Upper Methow,30306,114,11.0257998
57,131,98,2012, ,10114,3957,29.3493996
58,154,103,6088, ,32834,1993,32.4510002
59,183,448,2694,Upper Methow,30448,183,25.2649994
60,175,443,517,Upper Methow,30443,175,0.0000000
61,187,479,873,Upper Methow,30479,187,13.7297001
62,171,0,1096, ,10050,3698,25.4015007
63,189,503,1863,Upper Methow,30503,189,24.0643997
64,190,531,713,Upper Methow,30531,190,0.0000000
65,186,94,347, ,30698,443,43.0000000
66,178,93,10527, ,10234,4664,26.3250008
67,172,102,12505, ,32860,2089,25.1105995
68,199,0,624, ,10240,4732,6.0096202
69,151,165,1206, ,30697,386,3.0820899
70,174,9999,981, ,20241,4906,5.1427102
71,188,105,20810, ,32124,1209,27.6977005
72,194,0,429, ,10094,3781,0.9976690
73,196,140,1052, ,32695,1890,16.0303993
74,197,0,686, ,10040,3697,6.0262399
75,195,113,22031, ,31837,989,27.2331009
76,191,112,10895, ,10234,4664,26.8862991
77,198,0,1251, ,10212,4503,3.7562001
78,202,0,963, ,10019,3501,1.9958500
79,204,444,351,Upper Methow,30345,211,12.0341997
80,181,283,559,Upper Methow,30283,181,15.0000000
81,206,480,2271,Upper Methow,30480,206,14.6829996
82,205,293,421,Upper Methow,30293,205,29.0000000
83,157,347,1027,Upper Methow,30347,157,20.7205009
84,153,346,2653,Upper Methow,30346,153,24.9811993
85,207,392,1117,Upper Methow,30392,207,21.6257992
86,211,345,359,Upper Methow,30345,211,20.0000000
87,146,0,1470, ,20427,5491,46.0570984
88,176,0,977, ,10019,3501,40.8188019
89,126,0,3270, ,10489,5546,28.2483006
90,216,0,2514, ,32374,1550,43.9832993
91,221,0,345, ,10037,3681,13.0376997
92,222,0,2689, ,10374,5121,25.9234009
93,166,405,1165,Upper Methow,30405,166,42.0000000
94,223,407,9516,Upper Methow,30407,223,28.2287006
95,169,428,21912,Upper Methow,30428,169,21.1096992
96,217,432,11412,Upper Methow,30432,217,30.3244991
97,237,408,9055,Upper Methow,30408,237,27.7784004
98,209,368,2047,Upper Methow,30368,209,22.5608006
99,173,0,1769, ,32256,1418,3.0000000
100,226,481,415,Upper Methow,30481,226,36.0867004
101,228,403,749,Upper Methow,30403,228,22.0293999
102,229,0,379, ,20235,4891,2.0000000
103,220,0,3176, ,20088,4075,24.3381996
104,210,0,2719, ,20009,3647,16.3897991
