TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2001-00:00:00,10,01,2001,00,2549.4
10.01.2001-03:00:00,10,01,2001,03,2556.9
10.01.2001-06:00:00,10,01,2001,06,2408.7
10.01.2001-09:00:00,10,01,2001,09,2074
10.01.2001-12:00:00,10,01,2001,12,1920.6
10.01.2001-15:00:00,10,01,2001,15,1881.2
10.01.2001-18:00:00,10,01,2001,18,1990.7
10.01.2001-21:00:00,10,01,2001,21,2069.4
10.02.2001-00:00:00,10,02,2001,00,2093.7
10.02.2001-03:00:00,10,02,2001,03,2082.9
10.02.2001-06:00:00,10,02,2001,06,2009.1
10.02.2001-09:00:00,10,02,2001,09,1795.4
10.02.2001-12:00:00,10,02,2001,12,1688.8
10.02.2001-15:00:00,10,02,2001,15,1702.6
10.02.2001-18:00:00,10,02,2001,18,1846.8
10.02.2001-21:00:00,10,02,2001,21,1943
10.03.2001-00:00:00,10,03,2001,00,2040
10.03.2001-03:00:00,10,03,2001,03,2049.8
10.03.2001-06:00:00,10,03,2001,06,1997.5
10.03.2001-09:00:00,10,03,2001,09,1784.1
10.03.2001-12:00:00,10,03,2001,12,1665.5
10.03.2001-15:00:00,10,03,2001,15,1653
10.03.2001-18:00:00,10,03,2001,18,1776
10.03.2001-21:00:00,10,03,2001,21,1872.2
10.04.2001-00:00:00,10,04,2001,00,1940.2
10.04.2001-03:00:00,10,04,2001,03,1960.8
10.04.2001-06:00:00,10,04,2001,06,1914.2
10.04.2001-09:00:00,10,04,2001,09,1706.1
10.04.2001-12:00:00,10,04,2001,12,1584.3
10.04.2001-15:00:00,10,04,2001,15,1584.2
10.04.2001-18:00:00,10,04,2001,18,1687.5
10.04.2001-21:00:00,10,04,2001,21,1778.2
10.05.2001-00:00:00,10,05,2001,00,1847.8
10.05.2001-03:00:00,10,05,2001,03,1884.9
10.05.2001-06:00:00,10,05,2001,06,1868.6
10.05.2001-09:00:00,10,05,2001,09,1667.3
10.05.2001-12:00:00,10,05,2001,12,1550.3
10.05.2001-15:00:00,10,05,2001,15,1556.4
10.05.2001-18:00:00,10,05,2001,18,1661.6
10.05.2001-21:00:00,10,05,2001,21,1751.9
10.06.2001-00:00:00,10,06,2001,00,1809.7
10.06.2001-03:00:00,10,06,2001,03,1848.8
10.06.2001-06:00:00,10,06,2001,06,1847.8
10.06.2001-09:00:00,10,06,2001,09,1650.2
10.06.2001-12:00:00,10,06,2001,12,1530.5
10.06.2001-15:00:00,10,06,2001,15,1542.3
10.06.2001-18:00:00,10,06,2001,18,1650.4
10.06.2001-21:00:00,10,06,2001,21,1739.1
10.07.2001-00:00:00,10,07,2001,00,1791.9
10.07.2001-03:00:00,10,07,2001,03,1833.7
10.07.2001-06:00:00,10,07,2001,06,1827.7
10.07.2001-09:00:00,10,07,2001,09,1635.1
10.07.2001-12:00:00,10,07,2001,12,1518.4
10.07.2001-15:00:00,10,07,2001,15,1532.4
10.07.2001-18:00:00,10,07,2001,18,1639.7
10.07.2001-21:00:00,10,07,2001,21,1724.3
10.08.2001-00:00:00,10,08,2001,00,1777.3
10.08.2001-03:00:00,10,08,2001,03,1817.1
10.08.2001-06:00:00,10,08,2001,06,1819.5
10.08.2001-09:00:00,10,08,2001,09,1650.3
10.08.2001-12:00:00,10,08,2001,12,1537.3
10.08.2001-15:00:00,10,08,2001,15,1583
10.08.2001-18:00:00,10,08,2001,18,1687.5
10.08.2001-21:00:00,10,08,2001,21,1759
10.09.2001-00:00:00,10,09,2001,00,1793.9
10.09.2001-03:00:00,10,09,2001,03,1816.5
10.09.2001-06:00:00,10,09,2001,06,1795.1
10.09.2001-09:00:00,10,09,2001,09,1627.3
10.09.2001-12:00:00,10,09,2001,12,1517.6
10.09.2001-15:00:00,10,09,2001,15,1563.1
10.09.2001-18:00:00,10,09,2001,18,1665.7
10.09.2001-21:00:00,10,09,2001,21,1743.7
10.10.2001-00:00:00,10,10,2001,00,1783.4
10.10.2001-03:00:00,10,10,2001,03,1799.2
10.10.2001-06:00:00,10,10,2001,06,1814.3
10.10.2001-09:00:00,10,10,2001,09,3460.8
10.10.2001-12:00:00,10,10,2001,12,5468.4
10.10.2001-15:00:00,10,10,2001,15,4818.7
10.10.2001-18:00:00,10,10,2001,18,3957.5
10.10.2001-21:00:00,10,10,2001,21,3406.9
10.11.2001-00:00:00,10,11,2001,00,2988.2
10.11.2001-03:00:00,10,11,2001,03,2875.2
10.11.2001-06:00:00,10,11,2001,06,2819.7
10.11.2001-09:00:00,10,11,2001,09,2786.2
10.11.2001-12:00:00,10,11,2001,12,2755.2
10.11.2001-15:00:00,10,11,2001,15,2707.8
10.11.2001-18:00:00,10,11,2001,18,2588.7
10.11.2001-21:00:00,10,11,2001,21,2467.5
10.12.2001-00:00:00,10,12,2001,00,2360.2
10.12.2001-03:00:00,10,12,2001,03,2286.9
10.12.2001-06:00:00,10,12,2001,06,2235
10.12.2001-09:00:00,10,12,2001,09,2585.6
10.12.2001-12:00:00,10,12,2001,12,3493.1
10.12.2001-15:00:00,10,12,2001,15,3131.9
10.12.2001-18:00:00,10,12,2001,18,2917.3
10.12.2001-21:00:00,10,12,2001,21,2867.9
10.13.2001-00:00:00,10,13,2001,00,2807.8
10.13.2001-03:00:00,10,13,2001,03,2801.4
10.13.2001-06:00:00,10,13,2001,06,2794.4
10.13.2001-09:00:00,10,13,2001,09,3079
10.13.2001-12:00:00,10,13,2001,12,3533.4
10.13.2001-15:00:00,10,13,2001,15,3182.5
10.13.2001-18:00:00,10,13,2001,18,2992.9
10.13.2001-21:00:00,10,13,2001,21,2847.6
10.14.2001-00:00:00,10,14,2001,00,2743.5
10.14.2001-03:00:00,10,14,2001,03,2683.6
10.14.2001-06:00:00,10,14,2001,06,2626.8
10.14.2001-09:00:00,10,14,2001,09,2621.4
10.14.2001-12:00:00,10,14,2001,12,2912.7
10.14.2001-15:00:00,10,14,2001,15,2573.6
10.14.2001-18:00:00,10,14,2001,18,2439.2
10.14.2001-21:00:00,10,14,2001,21,2352.7
10.15.2001-00:00:00,10,15,2001,00,2361.1
10.15.2001-03:00:00,10,15,2001,03,2352.4
10.15.2001-06:00:00,10,15,2001,06,2265.8
10.15.2001-09:00:00,10,15,2001,09,2197.1
10.15.2001-12:00:00,10,15,2001,12,2298.7
10.15.2001-15:00:00,10,15,2001,15,2011.4
10.15.2001-18:00:00,10,15,2001,18,1971.1
10.15.2001-21:00:00,10,15,2001,21,2016.7
10.16.2001-00:00:00,10,16,2001,00,2072.8
10.16.2001-03:00:00,10,16,2001,03,2087.1
10.16.2001-06:00:00,10,16,2001,06,2072.6
10.16.2001-09:00:00,10,16,2001,09,1935.1
10.16.2001-12:00:00,10,16,2001,12,1889.3
10.16.2001-15:00:00,10,16,2001,15,1808.6
10.16.2001-18:00:00,10,16,2001,18,1869
10.16.2001-21:00:00,10,16,2001,21,1927.5
10.17.2001-00:00:00,10,17,2001,00,1965.5
10.17.2001-03:00:00,10,17,2001,03,1991.6
10.17.2001-06:00:00,10,17,2001,06,1987.2
10.17.2001-09:00:00,10,17,2001,09,1815.5
10.17.2001-12:00:00,10,17,2001,12,1726.1
10.17.2001-15:00:00,10,17,2001,15,1670.2
10.17.2001-18:00:00,10,17,2001,18,1729
10.17.2001-21:00:00,10,17,2001,21,1780.5
10.18.2001-00:00:00,10,18,2001,00,1834
10.18.2001-03:00:00,10,18,2001,03,1887
10.18.2001-06:00:00,10,18,2001,06,1904.7
10.18.2001-09:00:00,10,18,2001,09,1763.1
10.18.2001-12:00:00,10,18,2001,12,1671.9
10.18.2001-15:00:00,10,18,2001,15,1726.9
10.18.2001-18:00:00,10,18,2001,18,1819.4
10.18.2001-21:00:00,10,18,2001,21,1869.5
10.19.2001-00:00:00,10,19,2001,00,1895.4
10.19.2001-03:00:00,10,19,2001,03,1905.5
10.19.2001-06:00:00,10,19,2001,06,1899.9
10.19.2001-09:00:00,10,19,2001,09,1711.2
10.19.2001-12:00:00,10,19,2001,12,1605.3
10.19.2001-15:00:00,10,19,2001,15,1616.2
10.19.2001-18:00:00,10,19,2001,18,1714.2
10.19.2001-21:00:00,10,19,2001,21,1780.7
10.20.2001-00:00:00,10,20,2001,00,1823.7
10.20.2001-03:00:00,10,20,2001,03,1862
10.20.2001-06:00:00,10,20,2001,06,1870.4
10.20.2001-09:00:00,10,20,2001,09,1690.4
10.20.2001-12:00:00,10,20,2001,12,1605.1
10.20.2001-15:00:00,10,20,2001,15,1589
10.20.2001-18:00:00,10,20,2001,18,1671.1
