TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2001-00:00:00,10,01,2001,00,505.4
10.01.2001-03:00:00,10,01,2001,03,521.71
10.01.2001-06:00:00,10,01,2001,06,473.22
10.01.2001-09:00:00,10,01,2001,09,417.17
10.01.2001-12:00:00,10,01,2001,12,383.01
10.01.2001-15:00:00,10,01,2001,15,415.04
10.01.2001-18:00:00,10,01,2001,18,454.02
10.01.2001-21:00:00,10,01,2001,21,458
10.02.2001-00:00:00,10,02,2001,00,477.24
10.02.2001-03:00:00,10,02,2001,03,487.32
10.02.2001-06:00:00,10,02,2001,06,440.82
10.02.2001-09:00:00,10,02,2001,09,371.97
10.02.2001-12:00:00,10,02,2001,12,370.08
10.02.2001-15:00:00,10,02,2001,15,393.7
10.02.2001-18:00:00,10,02,2001,18,419.32
10.02.2001-21:00:00,10,02,2001,21,433.63
10.03.2001-00:00:00,10,03,2001,00,450.55
10.03.2001-03:00:00,10,03,2001,03,458.08
10.03.2001-06:00:00,10,03,2001,06,437.35
10.03.2001-09:00:00,10,03,2001,09,371.55
10.03.2001-12:00:00,10,03,2001,12,368.72
10.03.2001-15:00:00,10,03,2001,15,394.05
10.03.2001-18:00:00,10,03,2001,18,420
10.03.2001-21:00:00,10,03,2001,21,438.59
10.04.2001-00:00:00,10,04,2001,00,451.04
10.04.2001-03:00:00,10,04,2001,03,453.99
10.04.2001-06:00:00,10,04,2001,06,435.08
10.04.2001-09:00:00,10,04,2001,09,368.91
10.04.2001-12:00:00,10,04,2001,12,366.45
10.04.2001-15:00:00,10,04,2001,15,392.12
10.04.2001-18:00:00,10,04,2001,18,419.79
10.04.2001-21:00:00,10,04,2001,21,437.01
10.05.2001-00:00:00,10,05,2001,00,447.23
10.05.2001-03:00:00,10,05,2001,03,449.08
10.05.2001-06:00:00,10,05,2001,06,440.18
10.05.2001-09:00:00,10,05,2001,09,369.4
10.05.2001-12:00:00,10,05,2001,12,366.11
10.05.2001-15:00:00,10,05,2001,15,393.72
10.05.2001-18:00:00,10,05,2001,18,421.86
10.05.2001-21:00:00,10,05,2001,21,438.92
10.06.2001-00:00:00,10,06,2001,00,443.88
10.06.2001-03:00:00,10,06,2001,03,447.6
10.06.2001-06:00:00,10,06,2001,06,449.47
10.06.2001-09:00:00,10,06,2001,09,368.88
10.06.2001-12:00:00,10,06,2001,12,363.56
10.06.2001-15:00:00,10,06,2001,15,392.78
10.06.2001-18:00:00,10,06,2001,18,420.69
10.06.2001-21:00:00,10,06,2001,21,435.38
10.07.2001-00:00:00,10,07,2001,00,440.91
10.07.2001-03:00:00,10,07,2001,03,445.1
10.07.2001-06:00:00,10,07,2001,06,446.23
10.07.2001-09:00:00,10,07,2001,09,368
10.07.2001-12:00:00,10,07,2001,12,362.18
10.07.2001-15:00:00,10,07,2001,15,391.71
10.07.2001-18:00:00,10,07,2001,18,418.68
10.07.2001-21:00:00,10,07,2001,21,431.77
10.08.2001-00:00:00,10,08,2001,00,438.67
10.08.2001-03:00:00,10,08,2001,03,442.26
10.08.2001-06:00:00,10,08,2001,06,443.22
10.08.2001-09:00:00,10,08,2001,09,385.73
