TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2001-00:00:00,10,01,2001,00,27353
10.01.2001-03:00:00,10,01,2001,03,28124
10.01.2001-06:00:00,10,01,2001,06,28495
10.01.2001-09:00:00,10,01,2001,09,27862
10.01.2001-12:00:00,10,01,2001,12,26693
10.01.2001-15:00:00,10,01,2001,15,25878
10.01.2001-18:00:00,10,01,2001,18,25872
10.01.2001-21:00:00,10,01,2001,21,26465
10.02.2001-00:00:00,10,02,2001,00,27261
10.02.2001-03:00:00,10,02,2001,03,27980
10.02.2001-06:00:00,10,02,2001,06,28289
10.02.2001-09:00:00,10,02,2001,09,27638
10.02.2001-12:00:00,10,02,2001,12,26485
10.02.2001-15:00:00,10,02,2001,15,25687
10.02.2001-18:00:00,10,02,2001,18,25687
10.02.2001-21:00:00,10,02,2001,21,26277
10.03.2001-00:00:00,10,03,2001,00,27066
10.03.2001-03:00:00,10,03,2001,03,27782
10.03.2001-06:00:00,10,03,2001,06,28162
10.03.2001-09:00:00,10,03,2001,09,27563
10.03.2001-12:00:00,10,03,2001,12,26427
10.03.2001-15:00:00,10,03,2001,15,25636
10.03.2001-18:00:00,10,03,2001,18,25629
10.03.2001-21:00:00,10,03,2001,21,26197
10.04.2001-00:00:00,10,04,2001,00,26962
10.04.2001-03:00:00,10,04,2001,03,27656
10.04.2001-06:00:00,10,04,2001,06,28091
10.04.2001-09:00:00,10,04,2001,09,27561
10.04.2001-12:00:00,10,04,2001,12,26473
10.04.2001-15:00:00,10,04,2001,15,25716
10.04.2001-18:00:00,10,04,2001,18,25719
10.04.2001-21:00:00,10,04,2001,21,26270
10.05.2001-00:00:00,10,05,2001,00,27009
10.05.2001-03:00:00,10,05,2001,03,27666
10.05.2001-06:00:00,10,05,2001,06,28128
10.05.2001-09:00:00,10,05,2001,09,27629
10.05.2001-12:00:00,10,05,2001,12,26568
10.05.2001-15:00:00,10,05,2001,15,25857
10.05.2001-18:00:00,10,05,2001,18,25879
10.05.2001-21:00:00,10,05,2001,21,26416
10.06.2001-00:00:00,10,06,2001,00,27103
10.06.2001-03:00:00,10,06,2001,03,27705
10.06.2001-06:00:00,10,06,2001,06,28108
10.06.2001-09:00:00,10,06,2001,09,27631
10.06.2001-12:00:00,10,06,2001,12,26636
10.06.2001-15:00:00,10,06,2001,15,25991
10.06.2001-18:00:00,10,06,2001,18,26043
10.06.2001-21:00:00,10,06,2001,21,26551
10.07.2001-00:00:00,10,07,2001,00,27184
10.07.2001-03:00:00,10,07,2001,03,27721
10.07.2001-06:00:00,10,07,2001,06,28053
10.07.2001-09:00:00,10,07,2001,09,27652
10.07.2001-12:00:00,10,07,2001,12,26817
10.07.2001-15:00:00,10,07,2001,15,26292
10.07.2001-18:00:00,10,07,2001,18,26379
10.07.2001-21:00:00,10,07,2001,21,26844
10.08.2001-00:00:00,10,08,2001,00,27406
10.08.2001-03:00:00,10,08,2001,03,27852
10.08.2001-06:00:00,10,08,2001,06,28158
10.08.2001-09:00:00,10,08,2001,09,28386
10.08.2001-12:00:00,10,08,2001,12,27964
10.08.2001-15:00:00,10,08,2001,15,27492
10.08.2001-18:00:00,10,08,2001,18,27400
10.08.2001-21:00:00,10,08,2001,21,27612
10.09.2001-00:00:00,10,09,2001,00,27911
10.09.2001-03:00:00,10,09,2001,03,28164
10.09.2001-06:00:00,10,09,2001,06,28217
10.09.2001-09:00:00,10,09,2001,09,27800
10.09.2001-12:00:00,10,09,2001,12,26966
10.09.2001-15:00:00,10,09,2001,15,26370
10.09.2001-18:00:00,10,09,2001,18,26352
10.09.2001-21:00:00,10,09,2001,21,26718
10.10.2001-00:00:00,10,10,2001,00,27318
10.10.2001-03:00:00,10,10,2001,03,27702
10.10.2001-06:00:00,10,10,2001,06,27969
10.10.2001-09:00:00,10,10,2001,09,30019
10.10.2001-12:00:00,10,10,2001,12,33253
10.10.2001-15:00:00,10,10,2001,15,34686
10.10.2001-18:00:00,10,10,2001,18,34206
10.10.2001-21:00:00,10,10,2001,21,32684
10.11.2001-00:00:00,10,11,2001,00,31005
10.11.2001-03:00:00,10,11,2001,03,29852
10.11.2001-06:00:00,10,11,2001,06,29246
10.11.2001-09:00:00,10,11,2001,09,29751
10.11.2001-12:00:00,10,11,2001,12,31706
10.11.2001-15:00:00,10,11,2001,15,33274
10.11.2001-18:00:00,10,11,2001,18,33518
10.11.2001-21:00:00,10,11,2001,21,32620
10.12.2001-00:00:00,10,12,2001,00,31306
10.12.2001-03:00:00,10,12,2001,03,30236
10.12.2001-06:00:00,10,12,2001,06,29556
10.12.2001-09:00:00,10,12,2001,09,29594
10.12.2001-12:00:00,10,12,2001,12,31511
10.12.2001-15:00:00,10,12,2001,15,33444
10.12.2001-18:00:00,10,12,2001,18,34160
10.12.2001-21:00:00,10,12,2001,21,33704
10.13.2001-00:00:00,10,13,2001,00,32764
10.13.2001-03:00:00,10,13,2001,03,31885
10.13.2001-06:00:00,10,13,2001,06,31406
10.13.2001-09:00:00,10,13,2001,09,32234
10.13.2001-12:00:00,10,13,2001,12,33675
10.13.2001-15:00:00,10,13,2001,15,34305
10.13.2001-18:00:00,10,13,2001,18,33911
10.13.2001-21:00:00,10,13,2001,21,32932
10.14.2001-00:00:00,10,14,2001,00,31911
10.14.2001-03:00:00,10,14,2001,03,31101
10.14.2001-06:00:00,10,14,2001,06,30485
10.14.2001-09:00:00,10,14,2001,09,29932
10.14.2001-12:00:00,10,14,2001,12,29193
10.14.2001-15:00:00,10,14,2001,15,28526
10.14.2001-18:00:00,10,14,2001,18,28248
10.14.2001-21:00:00,10,14,2001,21,28277
10.15.2001-00:00:00,10,15,2001,00,28433
10.15.2001-03:00:00,10,15,2001,03,28577
10.15.2001-06:00:00,10,15,2001,06,28659
10.15.2001-09:00:00,10,15,2001,09,28321
10.15.2001-12:00:00,10,15,2001,12,27591
10.15.2001-15:00:00,10,15,2001,15,27059
10.15.2001-18:00:00,10,15,2001,18,26986
10.15.2001-21:00:00,10,15,2001,21,27233
10.16.2001-00:00:00,10,16,2001,00,27604
10.16.2001-03:00:00,10,16,2001,03,27930
10.16.2001-06:00:00,10,16,2001,06,28131
10.16.2001-09:00:00,10,16,2001,09,27653
10.16.2001-12:00:00,10,16,2001,12,26780
10.16.2001-15:00:00,10,16,2001,15,26204
10.16.2001-18:00:00,10,16,2001,18,26191
10.16.2001-21:00:00,10,16,2001,21,26545
10.17.2001-00:00:00,10,17,2001,00,27021
10.17.2001-03:00:00,10,17,2001,03,27431
10.17.2001-06:00:00,10,17,2001,06,27702
10.17.2001-09:00:00,10,17,2001,09,27510
10.17.2001-12:00:00,10,17,2001,12,27071
10.17.2001-15:00:00,10,17,2001,15,26814
10.17.2001-18:00:00,10,17,2001,18,26891
10.17.2001-21:00:00,10,17,2001,21,27166
10.18.2001-00:00:00,10,18,2001,00,27468
10.18.2001-03:00:00,10,18,2001,03,27696
10.18.2001-06:00:00,10,18,2001,06,27766
10.18.2001-09:00:00,10,18,2001,09,27249
10.18.2001-12:00:00,10,18,2001,12,26417
10.18.2001-15:00:00,10,18,2001,15,25862
10.18.2001-18:00:00,10,18,2001,18,25840
10.18.2001-21:00:00,10,18,2001,21,26179
10.19.2001-00:00:00,10,19,2001,00,26641
10.19.2001-03:00:00,10,19,2001,03,27045
10.19.2001-06:00:00,10,19,2001,06,27319
10.19.2001-09:00:00,10,19,2001,09,27296
10.19.2001-12:00:00,10,19,2001,12,26740
10.19.2001-15:00:00,10,19,2001,15,26194
10.19.2001-18:00:00,10,19,2001,18,26073
10.19.2001-21:00:00,10,19,2001,21,26307
10.20.2001-00:00:00,10,20,2001,00,26689
10.20.2001-03:00:00,10,20,2001,03,27032
10.20.2001-06:00:00,10,20,2001,06,27265
10.20.2001-09:00:00,10,20,2001,09,26959
10.20.2001-12:00:00,10,20,2001,12,26228
10.20.2001-15:00:00,10,20,2001,15,25718
10.20.2001-18:00:00,10,20,2001,18,25692
10.20.2001-21:00:00,10,20,2001,21,25995
10.21.2001-00:00:00,10,21,2001,00,26411
10.21.2001-03:00:00,10,21,2001,03,26770
10.21.2001-06:00:00,10,21,2001,06,27014
10.21.2001-09:00:00,10,21,2001,09,28277
10.21.2001-12:00:00,10,21,2001,12,28746
10.21.2001-15:00:00,10,21,2001,15,28634
10.21.2001-18:00:00,10,21,2001,18,28315
10.21.2001-21:00:00,10,21,2001,21,27978
10.22.2001-00:00:00,10,22,2001,00,27948
10.22.2001-03:00:00,10,22,2001,03,27886
10.22.2001-06:00:00,10,22,2001,06,27777
10.22.2001-09:00:00,10,22,2001,09,28622
10.22.2001-12:00:00,10,22,2001,12,30528
10.22.2001-15:00:00,10,22,2001,15,31356
10.22.2001-18:00:00,10,22,2001,18,30966
10.22.2001-21:00:00,10,22,2001,21,30070
10.23.2001-00:00:00,10,23,2001,00,29155
10.23.2001-03:00:00,10,23,2001,03,28516
10.23.2001-06:00:00,10,23,2001,06,28303
10.23.2001-09:00:00,10,23,2001,09,29296
10.23.2001-12:00:00,10,23,2001,12,32785
10.23.2001-15:00:00,10,23,2001,15,35316
10.23.2001-18:00:00,10,23,2001,18,35486
10.23.2001-21:00:00,10,23,2001,21,33914
10.24.2001-00:00:00,10,24,2001,00,31741
10.24.2001-03:00:00,10,24,2001,03,29980
10.24.2001-06:00:00,10,24,2001,06,28907
10.24.2001-09:00:00,10,24,2001,09,28270
10.24.2001-12:00:00,10,24,2001,12,28040
10.24.2001-15:00:00,10,24,2001,15,27902
10.24.2001-18:00:00,10,24,2001,18,27796
10.24.2001-21:00:00,10,24,2001,21,27724
10.25.2001-00:00:00,10,25,2001,00,27697
10.25.2001-03:00:00,10,25,2001,03,27663
10.25.2001-06:00:00,10,25,2001,06,27630
10.25.2001-09:00:00,10,25,2001,09,27737
10.25.2001-12:00:00,10,25,2001,12,28539
10.25.2001-15:00:00,10,25,2001,15,29330
10.25.2001-18:00:00,10,25,2001,18,29654
10.25.2001-21:00:00,10,25,2001,21,29690
10.26.2001-00:00:00,10,26,2001,00,29231
10.26.2001-03:00:00,10,26,2001,03,28701
10.26.2001-06:00:00,10,26,2001,06,28279
10.26.2001-09:00:00,10,26,2001,09,28278
10.26.2001-12:00:00,10,26,2001,12,28651
10.26.2001-15:00:00,10,26,2001,15,28860
10.26.2001-18:00:00,10,26,2001,18,28795
10.26.2001-21:00:00,10,26,2001,21,28570
10.27.2001-00:00:00,10,27,2001,00,28211
10.27.2001-03:00:00,10,27,2001,03,27893
10.27.2001-06:00:00,10,27,2001,06,27655
10.27.2001-09:00:00,10,27,2001,09,27558
10.27.2001-12:00:00,10,27,2001,12,27939
10.27.2001-15:00:00,10,27,2001,15,27782
10.27.2001-18:00:00,10,27,2001,18,27594
10.27.2001-21:00:00,10,27,2001,21,27487
10.28.2001-00:00:00,10,28,2001,00,27403
10.28.2001-03:00:00,10,28,2001,03,27341
10.28.2001-06:00:00,10,28,2001,06,27290
10.28.2001-09:00:00,10,28,2001,09,27163
10.28.2001-12:00:00,10,28,2001,12,27161
10.28.2001-15:00:00,10,28,2001,15,27024
10.28.2001-18:00:00,10,28,2001,18,26998
10.28.2001-21:00:00,10,28,2001,21,27046
10.29.2001-00:00:00,10,29,2001,00,27065
10.29.2001-03:00:00,10,29,2001,03,27076
10.29.2001-06:00:00,10,29,2001,06,27068
10.29.2001-09:00:00,10,29,2001,09,27003
10.29.2001-12:00:00,10,29,2001,12,26886
10.29.2001-15:00:00,10,29,2001,15,26846
10.29.2001-18:00:00,10,29,2001,18,26876
10.29.2001-21:00:00,10,29,2001,21,26918
10.30.2001-00:00:00,10,30,2001,00,26930
10.30.2001-03:00:00,10,30,2001,03,26937
10.30.2001-06:00:00,10,30,2001,06,26924
10.30.2001-09:00:00,10,30,2001,09,26965
10.30.2001-12:00:00,10,30,2001,12,27048
10.30.2001-15:00:00,10,30,2001,15,27119
10.30.2001-18:00:00,10,30,2001,18,27097
10.30.2001-21:00:00,10,30,2001,21,27054
10.31.2001-00:00:00,10,31,2001,00,27511
10.31.2001-03:00:00,10,31,2001,03,28182
10.31.2001-06:00:00,10,31,2001,06,28908
10.31.2001-09:00:00,10,31,2001,09,30834
10.31.2001-12:00:00,10,31,2001,12,34683
10.31.2001-15:00:00,10,31,2001,15,38415
10.31.2001-18:00:00,10,31,2001,18,39791
10.31.2001-21:00:00,10,31,2001,21,38642
11.01.2001-00:00:00,11,01,2001,00,35273
11.01.2001-03:00:00,11,01,2001,03,32117
11.01.2001-06:00:00,11,01,2001,06,29969
11.01.2001-09:00:00,11,01,2001,09,28754
11.01.2001-12:00:00,11,01,2001,12,28185
11.01.2001-15:00:00,11,01,2001,15,27870
11.01.2001-18:00:00,11,01,2001,18,27754
11.01.2001-21:00:00,11,01,2001,21,27698
11.02.2001-00:00:00,11,02,2001,00,27608
11.02.2001-03:00:00,11,02,2001,03,27512
11.02.2001-06:00:00,11,02,2001,06,27430
11.02.2001-09:00:00,11,02,2001,09,27282
11.02.2001-12:00:00,11,02,2001,12,27321
11.02.2001-15:00:00,11,02,2001,15,27330
11.02.2001-18:00:00,11,02,2001,18,27288
11.02.2001-21:00:00,11,02,2001,21,27229
11.03.2001-00:00:00,11,03,2001,00,27182
11.03.2001-03:00:00,11,03,2001,03,27155
11.03.2001-06:00:00,11,03,2001,06,27139
11.03.2001-09:00:00,11,03,2001,09,27059
11.03.2001-12:00:00,11,03,2001,12,27049
11.03.2001-15:00:00,11,03,2001,15,27012
11.03.2001-18:00:00,11,03,2001,18,27030
11.03.2001-21:00:00,11,03,2001,21,27067
11.04.2001-00:00:00,11,04,2001,00,27071
11.04.2001-03:00:00,11,04,2001,03,27040
11.04.2001-06:00:00,11,04,2001,06,26983
11.04.2001-09:00:00,11,04,2001,09,26859
11.04.2001-12:00:00,11,04,2001,12,27165
11.04.2001-15:00:00,11,04,2001,15,27238
11.04.2001-18:00:00,11,04,2001,18,27243
11.04.2001-21:00:00,11,04,2001,21,27232
11.05.2001-00:00:00,11,05,2001,00,27131
11.05.2001-03:00:00,11,05,2001,03,27008
11.05.2001-06:00:00,11,05,2001,06,26923
11.05.2001-09:00:00,11,05,2001,09,26752
11.05.2001-12:00:00,11,05,2001,12,26592
11.05.2001-15:00:00,11,05,2001,15,26520
11.05.2001-18:00:00,11,05,2001,18,26530
11.05.2001-21:00:00,11,05,2001,21,26587
11.06.2001-00:00:00,11,06,2001,00,26607
11.06.2001-03:00:00,11,06,2001,03,26630
11.06.2001-06:00:00,11,06,2001,06,26627
11.06.2001-09:00:00,11,06,2001,09,26558
11.06.2001-12:00:00,11,06,2001,12,26437
11.06.2001-15:00:00,11,06,2001,15,26371
11.06.2001-18:00:00,11,06,2001,18,26364
11.06.2001-21:00:00,11,06,2001,21,26406
11.07.2001-00:00:00,11,07,2001,00,26431
11.07.2001-03:00:00,11,07,2001,03,26459
11.07.2001-06:00:00,11,07,2001,06,26456
11.07.2001-09:00:00,11,07,2001,09,26422
11.07.2001-12:00:00,11,07,2001,12,26315
11.07.2001-15:00:00,11,07,2001,15,26293
11.07.2001-18:00:00,11,07,2001,18,26295
11.07.2001-21:00:00,11,07,2001,21,26315
11.08.2001-00:00:00,11,08,2001,00,26318
11.08.2001-03:00:00,11,08,2001,03,26327
11.08.2001-06:00:00,11,08,2001,06,26310
11.08.2001-09:00:00,11,08,2001,09,26215
11.08.2001-12:00:00,11,08,2001,12,26123
11.08.2001-15:00:00,11,08,2001,15,26060
11.08.2001-18:00:00,11,08,2001,18,26048
11.08.2001-21:00:00,11,08,2001,21,26087
11.09.2001-00:00:00,11,09,2001,00,26101
11.09.2001-03:00:00,11,09,2001,03,26119
11.09.2001-06:00:00,11,09,2001,06,26118
