TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2011-00:00:00,10,01,2011,00,40.329
10.01.2011-03:00:00,10,01,2011,03,40.162
10.01.2011-06:00:00,10,01,2011,06,39.995
10.01.2011-09:00:00,10,01,2011,09,39.823
10.01.2011-12:00:00,10,01,2011,12,39.65
10.01.2011-15:00:00,10,01,2011,15,39.485
10.01.2011-18:00:00,10,01,2011,18,39.319
10.01.2011-21:00:00,10,01,2011,21,39.152
10.02.2011-00:00:00,10,02,2011,00,39.126
10.02.2011-03:00:00,10,02,2011,03,39.067
10.02.2011-06:00:00,10,02,2011,06,38.929
10.02.2011-09:00:00,10,02,2011,09,38.721
10.02.2011-12:00:00,10,02,2011,12,38.55
10.02.2011-15:00:00,10,02,2011,15,38.4
10.02.2011-18:00:00,10,02,2011,18,38.248
10.02.2011-21:00:00,10,02,2011,21,38.127
10.03.2011-00:00:00,10,03,2011,00,38.221
10.03.2011-03:00:00,10,03,2011,03,38.101
10.03.2011-06:00:00,10,03,2011,06,37.998
10.03.2011-09:00:00,10,03,2011,09,37.835
10.03.2011-12:00:00,10,03,2011,12,37.715
10.03.2011-15:00:00,10,03,2011,15,37.614
10.03.2011-18:00:00,10,03,2011,18,37.51
10.03.2011-21:00:00,10,03,2011,21,37.434
10.04.2011-00:00:00,10,04,2011,00,37.098
10.04.2011-03:00:00,10,04,2011,03,36.969
10.04.2011-06:00:00,10,04,2011,06,36.862
10.04.2011-09:00:00,10,04,2011,09,36.744
10.04.2011-12:00:00,10,04,2011,12,36.647
10.04.2011-15:00:00,10,04,2011,15,36.559
10.04.2011-18:00:00,10,04,2011,18,36.47
10.04.2011-21:00:00,10,04,2011,21,36.395
10.05.2011-00:00:00,10,05,2011,00,36.533
10.05.2011-03:00:00,10,05,2011,03,36.492
10.05.2011-06:00:00,10,05,2011,06,36.436
10.05.2011-09:00:00,10,05,2011,09,36.334
10.05.2011-12:00:00,10,05,2011,12,36.263
10.05.2011-15:00:00,10,05,2011,15,36.204
10.05.2011-18:00:00,10,05,2011,18,36.154
10.05.2011-21:00:00,10,05,2011,21,36.122
10.06.2011-00:00:00,10,06,2011,00,36.636
10.06.2011-03:00:00,10,06,2011,03,36.674
10.06.2011-06:00:00,10,06,2011,06,36.721
10.06.2011-09:00:00,10,06,2011,09,36.808
10.06.2011-12:00:00,10,06,2011,12,36.917
10.06.2011-15:00:00,10,06,2011,15,37.054
10.06.2011-18:00:00,10,06,2011,18,37.215
10.06.2011-21:00:00,10,06,2011,21,37.416
10.07.2011-00:00:00,10,07,2011,00,36.451
10.07.2011-03:00:00,10,07,2011,03,36.385
10.07.2011-06:00:00,10,07,2011,06,36.34
10.07.2011-09:00:00,10,07,2011,09,36.308
10.07.2011-12:00:00,10,07,2011,12,36.32
10.07.2011-15:00:00,10,07,2011,15,36.343
10.07.2011-18:00:00,10,07,2011,18,36.36
10.07.2011-21:00:00,10,07,2011,21,36.384
10.08.2011-00:00:00,10,08,2011,00,36.418
10.08.2011-03:00:00,10,08,2011,03,36.468
10.08.2011-06:00:00,10,08,2011,06,36.603
10.08.2011-09:00:00,10,08,2011,09,36.707
10.08.2011-12:00:00,10,08,2011,12,36.853
10.08.2011-15:00:00,10,08,2011,15,37.007
10.08.2011-18:00:00,10,08,2011,18,37.241
10.08.2011-21:00:00,10,08,2011,21,37.431
10.09.2011-00:00:00,10,09,2011,00,37.635
10.09.2011-03:00:00,10,09,2011,03,37.857
10.09.2011-06:00:00,10,09,2011,06,38.086
10.09.2011-09:00:00,10,09,2011,09,38.361
10.09.2011-12:00:00,10,09,2011,12,38.602
10.09.2011-15:00:00,10,09,2011,15,38.867
10.09.2011-18:00:00,10,09,2011,18,39.152
10.09.2011-21:00:00,10,09,2011,21,39.465
10.10.2011-00:00:00,10,10,2011,00,39.819
10.10.2011-03:00:00,10,10,2011,03,40.271
10.10.2011-06:00:00,10,10,2011,06,40.702
10.10.2011-09:00:00,10,10,2011,09,41.128
10.10.2011-12:00:00,10,10,2011,12,41.577
10.10.2011-15:00:00,10,10,2011,15,42.112
10.10.2011-18:00:00,10,10,2011,18,42.63
10.10.2011-21:00:00,10,10,2011,21,43.159
10.11.2011-00:00:00,10,11,2011,00,45.031
10.11.2011-03:00:00,10,11,2011,03,45.832
10.11.2011-06:00:00,10,11,2011,06,46.578
10.11.2011-09:00:00,10,11,2011,09,47.339
10.11.2011-12:00:00,10,11,2011,12,48.284
10.11.2011-15:00:00,10,11,2011,15,49.419
10.11.2011-18:00:00,10,11,2011,18,50.772
10.11.2011-21:00:00,10,11,2011,21,52.383
10.12.2011-00:00:00,10,12,2011,00,55.433
10.12.2011-03:00:00,10,12,2011,03,58.509
10.12.2011-06:00:00,10,12,2011,06,62.886
10.12.2011-09:00:00,10,12,2011,09,67.755
10.12.2011-12:00:00,10,12,2011,12,73.337
10.12.2011-15:00:00,10,12,2011,15,79.931
10.12.2011-18:00:00,10,12,2011,18,87.634
10.12.2011-21:00:00,10,12,2011,21,95.701
10.13.2011-00:00:00,10,13,2011,00,99.875
10.13.2011-03:00:00,10,13,2011,03,107.34
10.13.2011-06:00:00,10,13,2011,06,116.05
10.13.2011-09:00:00,10,13,2011,09,125.08
10.13.2011-12:00:00,10,13,2011,12,134.96
10.13.2011-15:00:00,10,13,2011,15,145.15
10.13.2011-18:00:00,10,13,2011,18,157.11
10.13.2011-21:00:00,10,13,2011,21,171.69
10.14.2011-00:00:00,10,14,2011,00,187.11
10.14.2011-03:00:00,10,14,2011,03,203.93
10.14.2011-06:00:00,10,14,2011,06,222.19
10.14.2011-09:00:00,10,14,2011,09,240.83
10.14.2011-12:00:00,10,14,2011,12,259.81
10.14.2011-15:00:00,10,14,2011,15,276.91
10.14.2011-18:00:00,10,14,2011,18,297.27
10.14.2011-21:00:00,10,14,2011,21,362.59
10.15.2011-00:00:00,10,15,2011,00,412.46
10.15.2011-03:00:00,10,15,2011,03,456.59
10.15.2011-06:00:00,10,15,2011,06,471.95
10.15.2011-09:00:00,10,15,2011,09,486.35
10.15.2011-12:00:00,10,15,2011,12,505.76
10.15.2011-15:00:00,10,15,2011,15,560.88
10.15.2011-18:00:00,10,15,2011,18,576.28
10.15.2011-21:00:00,10,15,2011,21,591.3
