TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2011-00:00:00,10,01,2011,00,25621
10.01.2011-03:00:00,10,01,2011,03,25948
10.01.2011-06:00:00,10,01,2011,06,26333
10.01.2011-09:00:00,10,01,2011,09,26736
10.01.2011-12:00:00,10,01,2011,12,27120
10.01.2011-15:00:00,10,01,2011,15,27454
10.01.2011-18:00:00,10,01,2011,18,27738
10.01.2011-21:00:00,10,01,2011,21,28001
10.02.2011-00:00:00,10,02,2011,00,28281
10.02.2011-03:00:00,10,02,2011,03,28606
10.02.2011-06:00:00,10,02,2011,06,28991
10.02.2011-09:00:00,10,02,2011,09,29431
10.02.2011-12:00:00,10,02,2011,12,29880
10.02.2011-15:00:00,10,02,2011,15,30315
10.02.2011-18:00:00,10,02,2011,18,30705
10.02.2011-21:00:00,10,02,2011,21,31042
10.03.2011-00:00:00,10,03,2011,00,31366
10.03.2011-03:00:00,10,03,2011,03,31714
10.03.2011-06:00:00,10,03,2011,06,32101
10.03.2011-09:00:00,10,03,2011,09,32519
10.03.2011-12:00:00,10,03,2011,12,32934
10.03.2011-15:00:00,10,03,2011,15,33327
10.03.2011-18:00:00,10,03,2011,18,33704
10.03.2011-21:00:00,10,03,2011,21,34083
10.04.2011-00:00:00,10,04,2011,00,34478
10.04.2011-03:00:00,10,04,2011,03,34887
10.04.2011-06:00:00,10,04,2011,06,35288
10.04.2011-09:00:00,10,04,2011,09,35660
10.04.2011-12:00:00,10,04,2011,12,36002
10.04.2011-15:00:00,10,04,2011,15,36323
10.04.2011-18:00:00,10,04,2011,18,36647
10.04.2011-21:00:00,10,04,2011,21,37003
10.05.2011-00:00:00,10,05,2011,00,37426
10.05.2011-03:00:00,10,05,2011,03,37946
10.05.2011-06:00:00,10,05,2011,06,38584
10.05.2011-09:00:00,10,05,2011,09,39324
10.05.2011-12:00:00,10,05,2011,12,40121
10.05.2011-15:00:00,10,05,2011,15,40934
10.05.2011-18:00:00,10,05,2011,18,41747
10.05.2011-21:00:00,10,05,2011,21,42568
10.06.2011-00:00:00,10,06,2011,00,43448
10.06.2011-03:00:00,10,06,2011,03,44440
10.06.2011-06:00:00,10,06,2011,06,45590
10.06.2011-09:00:00,10,06,2011,09,46915
10.06.2011-12:00:00,10,06,2011,12,48381
10.06.2011-15:00:00,10,06,2011,15,49933
10.06.2011-18:00:00,10,06,2011,18,51531
10.06.2011-21:00:00,10,06,2011,21,53152
10.07.2011-00:00:00,10,07,2011,00,54719
10.07.2011-03:00:00,10,07,2011,03,56132
10.07.2011-06:00:00,10,07,2011,06,57254
10.07.2011-09:00:00,10,07,2011,09,57977
10.07.2011-12:00:00,10,07,2011,12,58305
10.07.2011-15:00:00,10,07,2011,15,58334
10.07.2011-18:00:00,10,07,2011,18,58182
10.07.2011-21:00:00,10,07,2011,21,57946
10.08.2011-00:00:00,10,08,2011,00,57699
10.08.2011-03:00:00,10,08,2011,03,57477
10.08.2011-06:00:00,10,08,2011,06,57276
10.08.2011-09:00:00,10,08,2011,09,57060
10.08.2011-12:00:00,10,08,2011,12,56788
10.08.2011-15:00:00,10,08,2011,15,56442
10.08.2011-18:00:00,10,08,2011,18,56029
10.08.2011-21:00:00,10,08,2011,21,55585
10.09.2011-00:00:00,10,09,2011,00,55159
10.09.2011-03:00:00,10,09,2011,03,54766
10.09.2011-06:00:00,10,09,2011,06,54386
10.09.2011-09:00:00,10,09,2011,09,53971
10.09.2011-12:00:00,10,09,2011,12,53471
10.09.2011-15:00:00,10,09,2011,15,52867
10.09.2011-18:00:00,10,09,2011,18,52191
10.09.2011-21:00:00,10,09,2011,21,51515
10.10.2011-00:00:00,10,10,2011,00,50908
10.10.2011-03:00:00,10,10,2011,03,50391
10.10.2011-06:00:00,10,10,2011,06,49935
10.10.2011-09:00:00,10,10,2011,09,49475
10.10.2011-12:00:00,10,10,2011,12,48954
10.10.2011-15:00:00,10,10,2011,15,48353
10.10.2011-18:00:00,10,10,2011,18,47694
10.10.2011-21:00:00,10,10,2011,21,47033
10.11.2011-00:00:00,10,11,2011,00,46514
10.11.2011-03:00:00,10,11,2011,03,46258
10.11.2011-06:00:00,10,11,2011,06,46365
10.11.2011-09:00:00,10,11,2011,09,46873
10.11.2011-12:00:00,10,11,2011,12,47687
10.11.2011-15:00:00,10,11,2011,15,48675
10.11.2011-18:00:00,10,11,2011,18,49749
10.11.2011-21:00:00,10,11,2011,21,50873
10.12.2011-00:00:00,10,12,2011,00,52084
10.12.2011-03:00:00,10,12,2011,03,53397
10.12.2011-06:00:00,10,12,2011,06,54865
10.12.2011-09:00:00,10,12,2011,09,56609
10.12.2011-12:00:00,10,12,2011,12,58743
10.12.2011-15:00:00,10,12,2011,15,61375
10.12.2011-18:00:00,10,12,2011,18,64633
10.12.2011-21:00:00,10,12,2011,21,68498
10.13.2011-00:00:00,10,13,2011,00,72685
10.13.2011-03:00:00,10,13,2011,03,76757
10.13.2011-06:00:00,10,13,2011,06,80235
10.13.2011-09:00:00,10,13,2011,09,82880
10.13.2011-12:00:00,10,13,2011,12,84809
10.13.2011-15:00:00,10,13,2011,15,86242
10.13.2011-18:00:00,10,13,2011,18,87477
10.13.2011-21:00:00,10,13,2011,21,88691
10.14.2011-00:00:00,10,14,2011,00,89924
10.14.2011-03:00:00,10,14,2011,03,91117
10.14.2011-06:00:00,10,14,2011,06,92198
10.14.2011-09:00:00,10,14,2011,09,93154
10.14.2011-12:00:00,10,14,2011,12,93932
10.14.2011-15:00:00,10,14,2011,15,94462
10.14.2011-18:00:00,10,14,2011,18,94786
10.14.2011-21:00:00,10,14,2011,21,94990
10.15.2011-00:00:00,10,15,2011,00,95121
10.15.2011-03:00:00,10,15,2011,03,95185
10.15.2011-06:00:00,10,15,2011,06,95178
10.15.2011-09:00:00,10,15,2011,09,95080
10.15.2011-12:00:00,10,15,2011,12,94845
10.15.2011-15:00:00,10,15,2011,15,94464
10.15.2011-18:00:00,10,15,2011,18,93940
10.15.2011-21:00:00,10,15,2011,21,93319
10.16.2011-00:00:00,10,16,2011,00,92671
10.16.2011-03:00:00,10,16,2011,03,92037
10.16.2011-06:00:00,10,16,2011,06,91411
10.16.2011-09:00:00,10,16,2011,09,90733
10.16.2011-12:00:00,10,16,2011,12,89964
10.16.2011-15:00:00,10,16,2011,15,89058
10.16.2011-18:00:00,10,16,2011,18,88020
10.16.2011-21:00:00,10,16,2011,21,86937
10.17.2011-00:00:00,10,17,2011,00,85899
10.17.2011-03:00:00,10,17,2011,03,84939
10.17.2011-06:00:00,10,17,2011,06,84037
10.17.2011-09:00:00,10,17,2011,09,83123
10.17.2011-12:00:00,10,17,2011,12,82183
10.17.2011-15:00:00,10,17,2011,15,81196
10.17.2011-18:00:00,10,17,2011,18,80162
10.17.2011-21:00:00,10,17,2011,21,79165
10.18.2011-00:00:00,10,18,2011,00,78274
10.18.2011-03:00:00,10,18,2011,03,77487
10.18.2011-06:00:00,10,18,2011,06,76759
10.18.2011-09:00:00,10,18,2011,09,76004
10.18.2011-12:00:00,10,18,2011,12,75208
10.18.2011-15:00:00,10,18,2011,15,74346
10.18.2011-18:00:00,10,18,2011,18,73403
10.18.2011-21:00:00,10,18,2011,21,72473
10.19.2011-00:00:00,10,19,2011,00,71657
10.19.2011-03:00:00,10,19,2011,03,70974
10.19.2011-06:00:00,10,19,2011,06,70398
10.19.2011-09:00:00,10,19,2011,09,69894
10.19.2011-12:00:00,10,19,2011,12,69405
10.19.2011-15:00:00,10,19,2011,15,68898
10.19.2011-18:00:00,10,19,2011,18,68361
10.19.2011-21:00:00,10,19,2011,21,67804
10.20.2011-00:00:00,10,20,2011,00,67250
10.20.2011-03:00:00,10,20,2011,03,66704
10.20.2011-06:00:00,10,20,2011,06,66144
10.20.2011-09:00:00,10,20,2011,09,65510
10.20.2011-12:00:00,10,20,2011,12,64785
10.20.2011-15:00:00,10,20,2011,15,63981
10.20.2011-18:00:00,10,20,2011,18,63129
10.20.2011-21:00:00,10,20,2011,21,62307
10.21.2011-00:00:00,10,21,2011,00,61596
10.21.2011-03:00:00,10,21,2011,03,61016
10.21.2011-06:00:00,10,21,2011,06,60522
10.21.2011-09:00:00,10,21,2011,09,60019
10.21.2011-12:00:00,10,21,2011,12,59455
10.21.2011-15:00:00,10,21,2011,15,58815
10.21.2011-18:00:00,10,21,2011,18,58118
10.21.2011-21:00:00,10,21,2011,21,57426
10.22.2011-00:00:00,10,22,2011,00,56834
10.22.2011-03:00:00,10,22,2011,03,56372
10.22.2011-06:00:00,10,22,2011,06,56035
10.22.2011-09:00:00,10,22,2011,09,55810
10.22.2011-12:00:00,10,22,2011,12,55644
10.22.2011-15:00:00,10,22,2011,15,55463
10.22.2011-18:00:00,10,22,2011,18,55243
10.22.2011-21:00:00,10,22,2011,21,54995
10.23.2011-00:00:00,10,23,2011,00,54785
10.23.2011-03:00:00,10,23,2011,03,54673
10.23.2011-06:00:00,10,23,2011,06,54747
10.23.2011-09:00:00,10,23,2011,09,55070
10.23.2011-12:00:00,10,23,2011,12,55578
10.23.2011-15:00:00,10,23,2011,15,56158
10.23.2011-18:00:00,10,23,2011,18,56763
10.23.2011-21:00:00,10,23,2011,21,57386
10.24.2011-00:00:00,10,24,2011,00,57929
10.24.2011-03:00:00,10,24,2011,03,58292
10.24.2011-06:00:00,10,24,2011,06,58373
10.24.2011-09:00:00,10,24,2011,09,58115
10.24.2011-12:00:00,10,24,2011,12,57616
10.24.2011-15:00:00,10,24,2011,15,57020
10.24.2011-18:00:00,10,24,2011,18,56456
10.24.2011-21:00:00,10,24,2011,21,56021
10.25.2011-00:00:00,10,25,2011,00,55748
10.25.2011-03:00:00,10,25,2011,03,55618
10.25.2011-06:00:00,10,25,2011,06,55580
10.25.2011-09:00:00,10,25,2011,09,55568
10.25.2011-12:00:00,10,25,2011,12,55518
10.25.2011-15:00:00,10,25,2011,15,55414
10.25.2011-18:00:00,10,25,2011,18,55271
10.25.2011-21:00:00,10,25,2011,21,55116
10.26.2011-00:00:00,10,26,2011,00,54983
10.26.2011-03:00:00,10,26,2011,03,54873
10.26.2011-06:00:00,10,26,2011,06,54761
10.26.2011-09:00:00,10,26,2011,09,54607
10.26.2011-12:00:00,10,26,2011,12,54381
10.26.2011-15:00:00,10,26,2011,15,54088
10.26.2011-18:00:00,10,26,2011,18,53749
10.26.2011-21:00:00,10,26,2011,21,53400
10.27.2011-00:00:00,10,27,2011,00,53083
10.27.2011-03:00:00,10,27,2011,03,52812
10.27.2011-06:00:00,10,27,2011,06,52568
10.27.2011-09:00:00,10,27,2011,09,52311
10.27.2011-12:00:00,10,27,2011,12,51996
10.27.2011-15:00:00,10,27,2011,15,51620
10.27.2011-18:00:00,10,27,2011,18,51198
10.27.2011-21:00:00,10,27,2011,21,50760
10.28.2011-00:00:00,10,28,2011,00,50343
10.28.2011-03:00:00,10,28,2011,03,49952
10.28.2011-06:00:00,10,28,2011,06,49577
10.28.2011-09:00:00,10,28,2011,09,49185
10.28.2011-12:00:00,10,28,2011,12,48748
10.28.2011-15:00:00,10,28,2011,15,48263
10.28.2011-18:00:00,10,28,2011,18,47740
10.28.2011-21:00:00,10,28,2011,21,47215
10.29.2011-00:00:00,10,29,2011,00,46741
10.29.2011-03:00:00,10,29,2011,03,46342
10.29.2011-06:00:00,10,29,2011,06,46002
10.29.2011-09:00:00,10,29,2011,09,45766
10.29.2011-12:00:00,10,29,2011,12,45788
10.29.2011-15:00:00,10,29,2011,15,46121
10.29.2011-18:00:00,10,29,2011,18,46829
10.29.2011-21:00:00,10,29,2011,21,47852
10.30.2011-00:00:00,10,30,2011,00,48863
10.30.2011-03:00:00,10,30,2011,03,49509
10.30.2011-06:00:00,10,30,2011,06,49640
10.30.2011-09:00:00,10,30,2011,09,49325
10.30.2011-12:00:00,10,30,2011,12,48767
10.30.2011-15:00:00,10,30,2011,15,48190
10.30.2011-18:00:00,10,30,2011,18,47749
10.30.2011-21:00:00,10,30,2011,21,47493
10.31.2011-00:00:00,10,31,2011,00,47375
10.31.2011-03:00:00,10,31,2011,03,47317
10.31.2011-06:00:00,10,31,2011,06,47265
10.31.2011-09:00:00,10,31,2011,09,47189
10.31.2011-12:00:00,10,31,2011,12,47149
10.31.2011-15:00:00,10,31,2011,15,47260
10.31.2011-18:00:00,10,31,2011,18,47605
10.31.2011-21:00:00,10,31,2011,21,48174
11.01.2011-00:00:00,11,01,2011,00,48807
11.01.2011-03:00:00,11,01,2011,03,49284
11.01.2011-06:00:00,11,01,2011,06,49475
11.01.2011-09:00:00,11,01,2011,09,49397
11.01.2011-12:00:00,11,01,2011,12,49156
11.01.2011-15:00:00,11,01,2011,15,48871
11.01.2011-18:00:00,11,01,2011,18,48624
11.01.2011-21:00:00,11,01,2011,21,48449
11.02.2011-00:00:00,11,02,2011,00,48332
11.02.2011-03:00:00,11,02,2011,03,48237
11.02.2011-06:00:00,11,02,2011,06,48131
11.02.2011-09:00:00,11,02,2011,09,47995
11.02.2011-12:00:00,11,02,2011,12,47824
11.02.2011-15:00:00,11,02,2011,15,47628
11.02.2011-18:00:00,11,02,2011,18,47428
11.02.2011-21:00:00,11,02,2011,21,47247
11.03.2011-00:00:00,11,03,2011,00,47092
11.03.2011-03:00:00,11,03,2011,03,46946
11.03.2011-06:00:00,11,03,2011,06,46788
11.03.2011-09:00:00,11,03,2011,09,46598
11.03.2011-12:00:00,11,03,2011,12,46366
11.03.2011-15:00:00,11,03,2011,15,46109
11.03.2011-18:00:00,11,03,2011,18,45857
11.03.2011-21:00:00,11,03,2011,21,45628
11.04.2011-00:00:00,11,04,2011,00,45416
11.04.2011-03:00:00,11,04,2011,03,45201
11.04.2011-06:00:00,11,04,2011,06,44975
11.04.2011-09:00:00,11,04,2011,09,44742
11.04.2011-12:00:00,11,04,2011,12,44508
11.04.2011-15:00:00,11,04,2011,15,44281
11.04.2011-18:00:00,11,04,2011,18,44066
11.04.2011-21:00:00,11,04,2011,21,43858
11.05.2011-00:00:00,11,05,2011,00,43654
11.05.2011-03:00:00,11,05,2011,03,43449
11.05.2011-06:00:00,11,05,2011,06,43245
11.05.2011-09:00:00,11,05,2011,09,43038
11.05.2011-12:00:00,11,05,2011,12,42821
11.05.2011-15:00:00,11,05,2011,15,42591
11.05.2011-18:00:00,11,05,2011,18,42350
11.05.2011-21:00:00,11,05,2011,21,42102
11.06.2011-00:00:00,11,06,2011,00,41854
11.06.2011-03:00:00,11,06,2011,03,41613
11.06.2011-06:00:00,11,06,2011,06,41380
11.06.2011-09:00:00,11,06,2011,09,41151
11.06.2011-12:00:00,11,06,2011,12,40917
11.06.2011-15:00:00,11,06,2011,15,40673
11.06.2011-18:00:00,11,06,2011,18,40423
11.06.2011-21:00:00,11,06,2011,21,40167
11.07.2011-00:00:00,11,07,2011,00,39908
11.07.2011-03:00:00,11,07,2011,03,39650
11.07.2011-06:00:00,11,07,2011,06,39396
11.07.2011-09:00:00,11,07,2011,09,39145
11.07.2011-12:00:00,11,07,2011,12,38892
11.07.2011-15:00:00,11,07,2011,15,38633
11.07.2011-18:00:00,11,07,2011,18,38366
11.07.2011-21:00:00,11,07,2011,21,38094
11.08.2011-00:00:00,11,08,2011,00,37824
11.08.2011-03:00:00,11,08,2011,03,37561
11.08.2011-06:00:00,11,08,2011,06,37305
11.08.2011-09:00:00,11,08,2011,09,37052
11.08.2011-12:00:00,11,08,2011,12,36792
11.08.2011-15:00:00,11,08,2011,15,36522
11.08.2011-18:00:00,11,08,2011,18,36245
11.08.2011-21:00:00,11,08,2011,21,35968
11.09.2011-00:00:00,11,09,2011,00,35695
11.09.2011-03:00:00,11,09,2011,03,35425
11.09.2011-06:00:00,11,09,2011,06,35158
11.09.2011-09:00:00,11,09,2011,09,34891
11.09.2011-12:00:00,11,09,2011,12,34625
11.09.2011-15:00:00,11,09,2011,15,34365
11.09.2011-18:00:00,11,09,2011,18,34119
11.09.2011-21:00:00,11,09,2011,21,33897
11.10.2011-00:00:00,11,10,2011,00,33689
11.10.2011-03:00:00,11,10,2011,03,33478
